"12/25/2021 20:38","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
59,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
60,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
61,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
62,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
63,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
64,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
65,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
66,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
67,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
68,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
69,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
70,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
71,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,313,Timed Out
72,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,313,Timed Out
73,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,308,Timed Out
74,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
75,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
76,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
77,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
