"12/25/2021 21:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
113,4,360,13,819,100.5,100.5,0.7,237,242
114,4,360,13,819,100.5,100.5,0.7,237,266
115,2,360,13,819,100.5,100.5,0.7,237,257
116,4,360,13,821,100.5,100.5,0.6,247,242
117,4,361,13,818,100.5,100.5,0.5,247,252
118,4,360,13,818,100.5,100.5,0.5,247,252
119,4,360,13,821,100.5,100.5,0.6,247,242
120,4,360,13,821,100.5,100.5,0.7,247,262
121,4,360,13,822,100.5,100.5,0.7,252,262
122,4,360,13,822,100.5,100.5,0.6,252,257
123,4,360,13,820,100.5,100.5,0.6,257,262
124,4,360,13,819,100.5,100.5,0.6,257,266
125,4,360,13,822,100.5,100.5,0.7,237,242
126,4,361,13,819,100.5,100.5,0.7,237,262
127,4,360,13,820,100.5,100.5,0.7,257,271
128,4,361,13,821,100.5,100.5,0.7,247,266
129,4,361,13,822,100.5,100.5,0.7,247,242
130,4,360,13,819,100.5,100.5,0.6,262,252
131,4,361,13,819,100.5,100.5,0.7,262,262
132,4,360,13,818,100.5,100.5,0.7,237,247
133,4,360,13,822,100.5,100.5,0.7,237,252
134,4,360,13,818,100.5,100.5,0.7,262,242
135,4,360,13,818,100.5,100.5,0.7,247,262
136,4,361,13,821,100.5,100.5,0.7,247,262
137,4,360,13,822,100.5,100.5,0.7,237,257
138,4,361,13,820,100.5,100.5,0.7,237,252
139,4,360,13,822,100.5,100.5,0.6,257,266
140,4,360,13,821,100.5,100.5,0.7,257,262
141,4,361,13,819,100.5,100.5,0.7,242,247
142,2,359,25,822,100.5,100.0,0.7,247,242
143,4,360,36,902,100.5,100.0,0.7,247,262
144,4,363,36,972,100.5,100.0,0.7,262,262
145,4,366,36,1021,100.5,100.0,0.8,262,247
146,4,372,36,1061,100.5,100.0,0.7,262,266
147,4,379,36,1103,100.5,100.0,0.7,262,257
148,6,386,36,1136,100.5,100.0,0.7,276,266
149,8,391,36,1140,100.5,100.0,0.7,262,285
150,10,396,36,1170,100.5,100.0,0.7,262,285
151,10,400,36,1163,100.5,100.0,0.7,276,280
152,10,404,36,1140,100.5,100.0,0.7,276,308
153,10,404,36,1128,100.5,100.0,0.7,290,313
154,12,404,36,1117,100.5,100.0,0.6,290,299
155,14,404,36,1115,100.5,100.0,0.7,290,318
156,14,404,36,1119,100.5,100.0,0.7,285,304
157,12,405,36,1117,100.5,100.0,0.7,285,308
158,12,404,36,1117,100.5,100.0,0.7,308,308
159,12,404,36,1117,100.5,100.0,0.7,308,322
160,12,405,36,1119,100.5,100.0,0.7,313,327
161,12,405,36,1119,100.5,100.0,0.7,313,308
162,14,405,36,1124,100.5,100.0,0.6,290,332
163,14,405,36,1120,100.5,100.0,0.7,318,327
164,14,405,36,1121,100.5,100.0,0.7,318,322
165,14,405,36,1120,100.5,100.0,0.7,318,340
166,14,405,36,1119,100.5,100.0,0.6,318,332
167,14,405,36,1120,100.5,100.0,0.7,313,332
168,16,405,36,1124,100.5,100.0,0.6,313,345
169,16,405,36,1124,100.5,100.0,0.7,318,332
170,16,406,36,1123,100.5,100.0,0.7,318,345
171,14,406,36,1122,100.5,100.0,0.7,318,336
172,14,405,36,1122,100.5,100.0,0.7,332,340
173,16,406,36,1121,100.5,100.0,0.7,332,332
174,14,405,36,1120,100.5,100.0,0.7,327,354
175,14,405,36,1120,100.5,100.0,0.7,327,332
176,16,405,36,1117,100.5,100.0,0.7,340,345
177,14,405,36,1120,100.5,100.0,0.7,322,336
178,16,405,36,1118,100.5,100.0,0.7,322,345
179,14,405,36,1118,100.5,100.0,0.7,327,354
180,16,405,36,1118,100.5,100.0,0.7,327,340
181,14,406,36,1121,100.5,100.0,0.6,322,363
182,18,405,36,1124,100.5,100.0,0.7,322,354
183,14,405,36,1121,100.5,100.0,0.7,340,354
184,16,405,36,1122,100.5,100.0,0.7,345,359
185,16,405,36,1121,100.5,100.0,0.7,345,345
186,16,405,36,1120,100.5,100.0,0.7,336,349
187,16,405,36,1119,100.5,100.0,0.7,336,359
188,16,405,36,1122,100.5,100.0,0.7,332,359
189,16,405,36,1120,100.5,100.0,0.7,332,349
190,16,405,36,1122,100.5,100.0,0.7,340,349
191,16,405,36,1119,100.5,100.0,0.7,336,368
192,16,405,36,1120,100.5,100.0,0.7,336,359
193,16,405,36,1119,100.5,100.0,0.7,345,363
194,18,405,36,1125,100.5,100.0,0.7,345,359
195,14,406,36,1121,100.5,100.0,0.6,336,373
196,14,405,36,1122,100.5,100.0,0.7,336,368
197,18,405,36,1122,100.5,100.0,0.7,349,363
198,14,405,36,1122,100.5,100.0,0.7,349,359
199,18,406,36,1122,100.5,100.0,0.6,349,377
200,18,406,36,1123,100.5,100.0,0.7,349,368
201,14,405,36,1122,100.5,100.0,0.7,349,359
202,16,405,36,1122,100.5,100.0,0.7,354,377
203,16,406,36,1122,100.5,100.0,0.6,354,368
204,16,405,36,1118,100.5,100.0,0.7,363,363
205,18,405,36,1116,100.5,100.0,0.7,359,359
206,18,405,36,1117,100.5,100.0,0.7,359,363
207,16,405,36,1118,100.5,100.0,0.7,345,368
208,18,405,36,1117,100.5,100.0,0.7,345,377
209,18,404,36,1116,100.5,100.0,0.7,368,382
210,16,405,36,1120,100.5,100.0,0.6,368,377
211,16,405,36,1121,100.5,100.0,0.7,354,363
212,18,405,36,1124,100.5,100.0,0.7,363,377
213,18,404,36,1127,100.5,100.0,0.7,363,363
214,18,405,36,1130,100.5,100.0,0.6,368,382
215,18,406,36,1135,100.5,100.0,0.5,368,368
216,18,408,36,1139,100.5,100.0,0.7,349,377
217,18,409,36,1137,100.5,100.0,0.6,349,377
218,16,409,36,1138,100.5,100.0,0.6,363,368
219,16,410,36,1136,100.5,100.0,0.6,368,368
220,16,409,36,1134,100.5,100.0,0.7,368,377
221,14,409,36,1125,100.5,100.0,0.7,363,377
222,16,409,36,1126,100.5,100.0,0.7,363,386
223,14,409,36,1123,100.5,100.0,0.7,368,377
224,16,408,36,1125,100.5,100.0,0.6,368,368
225,16,408,36,1127,100.5,100.0,0.6,354,382
226,16,407,36,1127,100.5,100.0,0.7,354,382
227,14,407,36,1125,100.5,100.0,0.6,349,373
228,16,408,36,1125,100.5,100.0,0.7,349,382
229,14,408,36,1125,100.5,100.0,0.6,373,386
230,16,408,36,1123,100.5,100.0,0.7,373,382
231,16,407,36,1122,100.5,100.0,0.7,368,382
232,16,408,36,1126,100.5,100.0,0.6,368,363
233,14,407,36,1122,100.5,100.0,0.7,359,377
234,14,407,36,1127,100.5,100.0,0.7,349,382
235,14,407,36,1126,100.5,100.0,0.7,349,363
236,14,409,26,1118,100.5,100.0,0.7,354,368
237,14,409,12,1021,100.5,100.0,0.7,354,373
238,14,406,12,933,100.5,100.0,0.6,340,373
239,12,399,12,863,100.5,100.0,0.7,340,359
240,10,386,14,831,100.5,100.0,0.7,336,354
241,10,379,14,820,100.5,100.0,0.7,340,359
242,8,375,14,822,100.5,100.5,0.6,340,354
243,10,372,14,824,100.5,100.5,0.7,345,363
244,8,369,14,825,100.5,100.5,0.7,345,359
245,8,368,14,826,100.5,100.5,0.7,332,340
246,8,368,14,824,100.5,100.0,0.7,332,349
247,6,366,14,830,100.5,100.5,0.7,336,336
248,8,366,14,829,100.5,100.5,0.6,336,327
249,6,366,14,830,100.5,100.5,0.7,336,322
250,6,365,14,829,100.5,100.5,0.7,313,345
251,6,365,14,826,100.5,100.5,0.7,313,322
252,6,365,14,825,100.5,100.5,0.7,313,327
253,6,365,14,831,100.5,100.5,0.6,313,336
254,6,365,14,827,100.5,100.5,0.7,313,327
255,6,365,14,829,100.5,100.5,0.7,304,327
256,6,364,14,830,100.5,100.5,0.7,304,327
257,6,364,14,830,100.5,100.5,0.6,313,308
258,4,365,14,828,100.5,100.5,0.7,313,313
259,4,364,14,828,100.5,100.5,0.6,308,322
260,4,364,14,828,100.5,100.5,0.7,308,322
261,4,364,14,829,100.5,100.5,0.7,313,313
262,4,364,14,826,100.5,100.0,0.6,290,308
263,4,365,14,831,100.5,100.5,0.6,290,308
264,4,364,14,830,100.5,100.5,0.7,290,299
265,4,364,14,827,100.5,100.5,0.6,290,313
266,4,364,14,823,100.5,100.5,0.7,299,313
267,6,364,14,827,100.5,100.5,0.7,299,280
268,4,364,14,829,100.5,100.5,0.7,285,285
269,4,364,14,831,100.5,100.5,0.7,280,285
270,4,364,14,829,100.5,100.5,0.7,280,285
271,4,364,14,829,100.5,100.5,0.7,276,290
272,4,364,14,829,100.5,100.5,0.8,276,290
273,4,364,14,828,100.5,100.5,0.6,276,280
274,4,364,14,827,100.5,100.5,0.6,266,299
275,4,364,14,827,100.5,100.5,0.8,266,299
276,4,364,14,832,100.5,100.5,0.8,262,266
277,4,364,14,832,100.5,100.5,0.7,262,271
278,4,364,14,831,100.5,100.0,0.7,271,280
279,4,365,14,831,100.5,100.5,0.7,271,280
280,4,364,14,829,100.5,100.5,0.6,276,276
281,2,364,14,829,100.5,100.5,0.7,271,280
282,4,365,14,829,100.5,100.5,0.7,271,262
283,4,364,14,827,100.5,100.0,0.8,276,271
284,2,364,14,828,100.5,100.0,0.7,276,280
285,4,365,14,828,100.5,100.5,0.8,276,276
286,2,364,14,830,100.5,100.5,0.7,262,257
287,4,365,14,831,100.5,100.5,0.7,262,271
288,2,364,14,828,100.5,100.5,0.7,252,271
289,2,364,14,828,100.5,100.5,0.7,252,252
290,4,364,14,826,100.5,100.5,0.7,252,252
291,4,365,14,827,100.5,100.5,0.8,252,266
292,4,365,14,828,100.5,100.5,0.7,262,266
293,2,365,14,832,100.5,100.5,0.7,271,262
294,4,365,14,828,100.5,100.5,0.7,271,262
295,4,365,14,829,100.5,100.5,0.7,252,247
296,4,364,14,828,100.5,100.5,0.6,252,247
297,4,364,14,826,100.5,100.5,0.7,252,252
298,4,364,14,828,100.5,100.5,0.7,252,257
299,4,364,14,829,100.5,100.5,0.7,252,262
300,4,365,13,823,100.5,100.5,0.7,237,262
301,2,364,13,822,100.5,100.5,0.7,237,252
302,2,364,12,818,100.5,100.5,0.7,262,257
303,2,364,12,818,100.5,100.5,0.7,262,242
304,4,364,12,811,100.5,100.5,0.7,257,252
305,4,363,12,813,100.5,100.5,0.6,237,237
306,4,363,12,811,100.5,100.5,0.8,237,252
307,2,362,12,814,100.5,100.5,0.7,252,247
308,2,363,12,812,100.5,100.5,0.7,252,252
309,4,362,12,814,100.5,100.5,0.7,252,233
310,4,362,12,813,100.5,100.5,0.7,252,252
311,4,362,12,813,100.5,100.5,0.7,247,252
312,4,363,12,815,100.5,100.5,0.7,247,237
313,4,363,12,812,100.5,100.5,0.7,247,237
314,2,362,12,813,100.5,100.5,0.7,233,247
315,4,362,12,813,100.5,100.5,0.7,233,237
316,2,362,12,812,100.5,100.5,0.7,252,237
317,4,363,12,815,100.5,100.5,0.6,252,242
318,4,362,12,814,100.5,100.5,0.7,228,237
319,2,362,12,813,100.5,100.5,0.7,247,228
320,4,362,12,812,100.5,100.5,0.7,247,247
321,4,363,12,813,100.5,100.5,0.7,247,233
322,2,362,12,812,100.5,100.5,0.6,247,233
323,4,362,12,814,100.5,100.5,0.7,228,228
324,4,363,12,814,100.5,100.5,0.6,228,242
325,2,362,12,814,100.5,100.5,0.7,233,233
326,4,362,12,815,100.5,100.5,0.7,237,233
327,2,363,12,812,100.5,100.5,0.7,237,223
328,2,362,12,814,100.5,100.5,0.7,218,228
329,4,362,12,811,100.5,100.5,0.6,218,242
330,2,362,12,812,100.5,100.5,0.6,228,218
331,2,363,12,812,100.5,100.5,0.7,228,228
332,2,362,12,811,100.5,100.5,0.7,218,223
333,2,362,12,812,100.5,100.5,0.7,223,218
334,4,362,12,813,100.5,100.5,0.7,223,218
335,2,362,12,810,100.5,100.5,0.7,218,228
336,2,362,12,809,100.5,100.5,0.7,218,228
337,2,362,12,811,100.5,100.5,0.6,233,223
338,2,362,12,809,100.5,100.5,0.7,233,233
339,2,362,12,808,100.5,100.5,0.7,228,233
340,2,362,12,805,100.5,100.5,0.6,233,218
341,2,362,12,810,100.5,100.5,0.7,233,223
342,2,361,12,811,100.5,100.5,0.6,233,228
343,2,361,12,812,100.5,100.5,0.7,233,213
344,4,362,12,812,100.5,100.5,0.7,228,213
345,2,362,12,813,100.5,100.5,0.8,228,223
