"12/22/2021 21:06","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","%","kPa","RPM","RPM","Deg C","Deg C"
"Sample #","Boost Pressure","Throttle Position","Fuel Pressure","Desired Engine Speed","Engine Speed","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
169,10,34,399,1094,1092,285,304
170,8,34,399,1094,1095,299,299
171,6,34,399,1094,1089,299,304
172,6,34,399,1094,1091,280,308
173,4,34,399,1096,1097,290,308
174,8,34,398,1094,1091,290,308
175,8,34,399,1095,1100,276,290
176,6,34,399,1094,1098,290,290
177,6,34,398,1096,1089,299,290
178,10,34,398,1096,1092,285,290
179,8,34,398,1096,1093,285,285
180,8,34,399,1096,1097,285,304
181,6,34,398,1094,1099,280,290
182,8,34,398,1096,1099,290,285
183,6,34,398,1094,1098,299,280
184,8,34,398,1096,1094,285,290
185,8,34,398,1096,1096,299,299
186,6,34,398,1096,1101,280,285
187,6,34,399,1095,1091,276,285
188,10,34,399,1096,1092,290,304
189,6,34,398,1096,1099,299,308
190,6,34,399,1096,1095,304,304
191,6,34,399,1094,1099,280,304
192,8,34,399,1096,1103,276,304
193,6,34,399,1096,1093,271,285
194,8,34,399,1096,1095,290,308
195,8,34,398,1096,1101,299,304
196,8,34,399,1095,1092,276,290
197,6,34,399,1096,1091,290,280
198,6,34,399,1094,1098,290,290
199,6,34,399,1096,1098,285,290
200,6,34,398,1096,1096,271,304
201,6,34,399,1096,1096,299,276
202,6,34,399,1095,1101,276,290
203,6,34,398,1095,1091,271,280
204,8,34,399,1095,1092,280,276
205,4,34,399,1096,1097,285,304
206,6,34,399,1095,1090,290,276
207,8,34,399,1096,1091,276,304
208,6,34,399,1096,1096,280,285
209,6,34,399,1095,1091,285,304
210,6,34,399,1096,1091,266,304
211,6,34,399,1095,1093,280,285
212,6,34,398,1096,1098,290,276
213,8,34,398,1096,1096,271,280
214,8,34,399,1095,1101,276,285
215,6,34,399,1095,1101,271,276
216,6,34,399,1094,1091,280,290
217,10,34,399,1096,1095,285,280
218,6,34,398,1095,1100,271,276
219,8,34,399,1096,1094,266,276
220,6,34,399,1095,1099,285,276
221,6,34,399,1095,1098,266,290
222,8,34,399,1095,1098,266,280
223,10,34,400,1096,1098,290,285
224,6,34,400,1094,1101,276,285
225,6,34,400,1095,1100,266,290
226,6,34,400,1095,1102,262,299
227,6,34,400,1096,1098,276,285
228,4,34,401,1095,1093,285,285
229,8,34,401,1096,1091,266,276
230,6,34,400,1095,1097,266,285
231,6,34,400,1096,1100,285,276
232,6,34,400,1095,1087,262,290
233,6,34,400,1096,1092,280,299
234,6,34,399,1096,1084,257,271
235,6,34,399,1096,1086,257,266
236,6,34,399,1095,1089,271,271
237,6,34,399,1095,1090,276,285
238,6,34,398,1095,1094,262,276
239,6,34,398,1096,1100,266,285
240,6,34,399,1096,1101,266,290
241,6,34,399,1096,1092,280,266
242,8,34,399,1097,1093,271,290
243,6,34,399,1096,1099,262,271
244,6,34,399,1096,1091,276,280
245,6,34,399,1094,1091,262,266
246,6,34,400,1096,1098,271,271
247,6,34,399,1095,1101,285,285
248,6,34,399,1096,1091,271,290
249,6,34,399,1094,1100,257,290
250,4,34,399,1095,1099,266,299
251,6,34,399,1096,1090,276,280
252,8,34,399,1096,1092,276,266
253,4,34,400,1096,1100,266,290
254,6,34,400,1094,1097,262,285
255,4,34,400,1095,1096,276,290
256,6,34,400,1094,1100,285,280
257,8,34,400,1094,1096,262,285
258,8,34,400,1096,1096,266,290
259,6,34,400,1096,1101,266,285
260,6,34,400,1096,1093,276,276
261,8,34,400,1096,1093,280,280
262,6,34,400,1095,1103,266,271
263,6,34,400,1096,1095,262,276
264,8,34,400,1096,1101,266,276
265,6,34,400,1095,1100,276,280
266,4,34,400,1096,1093,271,271
267,10,34,400,1096,1103,257,271
268,6,34,400,1095,1104,271,276
269,6,34,401,1095,1095,271,290
270,6,34,401,1094,1093,271,276
271,8,34,400,1094,1089,280,266
272,4,34,400,1096,1092,276,285
273,6,34,400,1097,1100,257,290
274,4,34,400,1096,1100,276,271
275,6,34,400,1096,1098,276,276
276,4,34,400,1095,1092,271,285
277,8,34,400,1095,1093,266,280
278,6,34,400,1094,1092,266,276
279,6,34,400,1096,1090,276,285
280,6,34,400,1095,1091,266,285
281,4,34,400,1095,1097,276,280
282,6,34,400,1094,1089,262,276
283,6,34,400,1094,1095,257,276
284,6,34,400,1096,1097,276,290
285,4,34,400,1094,1100,262,276
286,8,34,401,1096,1096,262,276
287,8,34,401,1094,1099,262,280
288,6,34,402,1095,1099,266,290
289,4,34,401,1096,1103,257,280
290,6,34,401,1095,1101,257,285
291,4,34,401,1096,1093,266,280
292,8,34,401,1096,1099,271,290
293,6,34,401,1096,1099,252,271
294,6,34,401,1096,1100,271,271
295,6,34,401,1095,1088,247,271
296,6,34,401,1096,1092,266,266
297,6,34,401,1096,1098,266,266
298,4,34,401,1095,1095,257,266
299,6,34,401,1095,1099,252,271
300,8,34,401,1096,1096,257,262
301,4,34,401,1096,1100,266,285
302,6,34,401,1096,1091,247,266
303,6,34,401,1094,1096,257,280
304,6,34,401,1095,1099,262,262
305,8,34,401,1096,1091,271,271
306,6,34,401,1094,1094,266,285
307,6,34,400,1096,1096,266,271
308,6,34,400,1096,1088,266,280
309,6,34,400,1094,1090,252,271
310,6,34,400,1094,1091,262,276
311,6,34,400,1096,1091,257,262
312,6,34,400,1096,1097,257,271
313,6,34,400,1096,1098,266,285
314,4,34,400,1095,1091,257,262
315,8,34,400,1095,1092,252,285
316,6,34,399,1095,1094,266,276
317,6,34,399,1095,1096,257,285
318,8,34,399,1095,1091,271,280
319,8,34,399,1096,1087,252,262
320,6,34,399,1095,1095,247,280
321,6,34,399,1096,1093,252,262
322,6,34,400,1095,1099,271,262
323,8,34,400,1096,1104,266,266
324,6,34,401,1096,1104,276,285
325,6,34,401,1096,1097,252,266
326,6,34,401,1094,1100,257,266
327,6,34,401,1096,1091,266,262
328,8,34,399,1096,1083,271,271
329,6,34,399,1094,1083,262,276
330,6,34,398,1096,1087,247,266
331,6,34,397,1094,1089,266,276
332,8,34,398,1096,1087,271,290
333,6,34,398,1096,1090,252,290
334,6,34,397,1095,1083,257,285
335,4,34,397,1096,1082,266,285
336,10,34,397,1096,1084,262,285
337,6,34,397,1095,1091,271,276
338,4,34,397,1096,1084,271,290
339,10,34,396,1096,1096,262,285
340,6,34,397,1096,1098,271,304
341,8,34,397,1095,1091,266,290
342,8,34,397,1094,1094,266,280
343,8,34,398,1095,1098,280,290
344,8,34,398,1095,1098,280,280
345,10,34,398,1096,1103,271,299
346,8,34,398,1096,1097,280,290
347,8,34,398,1096,1096,285,299
348,8,34,398,1096,1093,299,290
349,10,34,398,1095,1088,276,299
350,8,34,397,1096,1082,276,304
351,10,34,395,1095,1087,299,290
352,12,34,395,1095,1100,276,299
353,10,34,396,1095,1108,299,290
354,12,34,397,1095,1104,276,290
355,12,34,398,1095,1112,290,313
356,10,34,399,1096,1110,308,308
357,10,34,399,1097,1099,308,318
358,10,34,399,1094,1104,285,318
359,12,34,399,1096,1105,290,322
360,10,34,399,1095,1093,285,304
361,12,34,399,1094,1096,313,318
362,8,34,399,1095,1102,304,327
363,10,34,399,1095,1094,299,327
364,8,34,399,1095,1094,290,327
365,8,34,398,1095,1101,313,318
366,10,34,399,1095,1101,299,318
367,12,34,400,1094,1111,313,308
368,10,34,400,1095,1114,313,318
369,8,34,400,1095,1104,304,313
370,8,34,401,1095,1108,304,318
371,8,34,401,1096,1102,304,318
372,6,34,401,1095,1093,299,318
373,12,34,401,1096,1096,313,322
374,10,34,400,1094,1094,313,318
375,8,34,400,1094,1091,290,327
376,8,34,400,1094,1095,318,313
377,6,34,400,1096,1094,308,304
378,12,34,400,1096,1100,313,322
379,10,34,400,1094,1096,318,327
380,8,34,400,1096,1097,318,327
381,8,34,399,1096,1092,299,308
382,10,34,399,1094,1091,308,327
383,10,34,400,1095,1103,304,318
384,6,34,400,1095,1114,308,308
385,8,34,402,1095,1107,308,313
386,8,34,402,1094,1104,308,318
387,8,34,403,1096,1097,285,304
388,8,34,402,1095,1107,313,318
389,10,34,402,1096,1095,304,313
390,8,34,402,1095,1093,285,304
391,6,34,402,1096,1097,285,313
392,6,34,402,1096,1094,285,304
393,8,34,401,1096,1096,308,299
394,6,34,402,1096,1097,276,290
395,8,34,402,1096,1092,299,299
396,6,34,401,1096,1095,299,308
397,6,34,401,1095,1094,285,304
398,4,34,402,1095,1100,290,308
399,8,34,401,1095,1089,280,313
400,6,34,401,1094,1096,271,313
401,6,34,401,1096,1090,285,290
402,4,34,401,1096,1091,285,285
403,8,34,401,1097,1097,290,304
404,4,34,401,1096,1100,276,308
405,6,34,400,1095,1095,271,285
406,4,34,401,1094,1093,271,308
407,4,34,401,1095,1094,266,285
408,4,34,400,1095,1091,271,285
409,6,34,400,1096,1096,276,304
410,6,34,400,1096,1097,285,304
411,6,34,400,1096,1091,266,280
412,8,34,400,1096,1093,266,285
413,6,34,400,1094,1094,280,299
414,6,34,400,1095,1097,280,290
415,6,34,400,1096,1101,280,290
416,6,34,401,1095,1098,266,299
417,4,34,401,1095,1090,280,285
418,8,34,400,1096,1097,285,290
419,6,34,400,1095,1098,280,285
420,4,34,400,1096,1094,262,276
421,4,34,401,1096,1103,276,276
422,8,34,400,1096,1093,262,290
423,6,34,401,1096,1095,276,280
424,6,34,401,1096,1100,276,304
425,4,34,401,1096,1099,257,290
426,4,34,401,1095,1097,262,276
427,4,34,401,1096,1092,271,285
428,6,34,401,1094,1094,276,285
429,6,34,401,1094,1095,257,271
430,4,34,401,1095,1093,280,299
431,4,34,401,1096,1101,271,276
432,4,34,401,1096,1102,257,285
433,6,34,401,1096,1092,262,299
434,6,34,401,1095,1101,271,290
435,4,34,401,1095,1098,266,299
436,6,34,401,1095,1092,271,299
437,8,34,401,1096,1092,252,280
438,6,34,401,1095,1091,257,271
439,6,34,401,1095,1093,266,285
440,4,34,401,1095,1100,262,290
441,8,34,401,1094,1098,257,266
442,4,34,401,1096,1100,257,290
443,4,34,401,1094,1089,257,280
444,4,34,401,1096,1090,252,271
445,4,34,400,1095,1101,257,285
446,4,34,401,1095,1095,247,290
447,8,34,401,1096,1094,271,271
448,6,34,401,1096,1098,266,280
449,4,34,401,1094,1095,252,290
450,4,34,401,1096,1099,271,271
451,6,34,400,1094,1097,271,271
452,4,34,400,1096,1097,257,285
453,6,34,400,1095,1087,271,290
454,4,34,400,1096,1090,247,285
455,6,34,400,1095,1102,252,285
456,4,34,400,1095,1090,242,280
457,8,34,401,1095,1095,247,290
458,6,34,400,1095,1098,257,266
