"12/22/2021 20:35","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C",""
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature","ECM In Control"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,22,414,45,1229,100.0,99.5,0.1,No Data,No Data,Primary ECM
5,22,414,45,1229,100.0,99.5,0.1,Timed Out,Timed Out,Primary ECM
6,28,414,45,1232,100.0,99.5,0.3,436,458,Primary ECM
7,26,414,45,1232,100.0,99.5,0.2,436,458,Primary ECM
8,26,414,45,1227,100.0,99.5,0.1,436,454,Primary ECM
9,24,414,45,1235,100.0,99.5,0.3,436,454,Primary ECM
10,28,414,45,1225,100.0,99.5,0.2,445,449,Primary ECM
11,26,415,45,1232,100.0,99.5,0.3,445,449,Primary ECM
12,24,414,45,1236,100.0,99.5,0.3,454,449,Primary ECM
13,24,413,45,1232,100.0,99.5,0.2,454,463,Primary ECM
14,26,413,45,1237,100.0,99.5,0.2,445,463,Primary ECM
15,26,414,45,1232,100.0,99.5,0.2,445,454,Primary ECM
16,24,413,44,1225,100.0,99.5,0.2,436,454,Primary ECM
17,24,413,45,1225,100.0,99.5,0.3,436,472,Primary ECM
18,26,412,45,1235,100.0,99.5,0.3,458,463,Primary ECM
19,24,413,45,1232,100.0,99.5,0.3,458,463,Primary ECM
20,28,412,45,1238,100.0,99.5,0.2,441,454,Primary ECM
21,24,412,45,1236,100.0,99.5,0.3,441,454,Primary ECM
22,26,413,45,1233,100.0,100.0,0.3,458,463,Primary ECM
23,30,413,45,1229,100.0,99.5,0.2,458,463,Primary ECM
24,28,413,45,1226,100.0,99.5,0.2,458,476,Primary ECM
25,26,412,45,1225,100.0,99.5,0.2,458,476,Primary ECM
26,28,412,45,1227,100.0,99.5,0.2,458,472,Primary ECM
27,26,413,45,1237,100.0,99.5,0.3,441,476,Primary ECM
28,26,412,45,1239,100.0,100.0,0.2,441,476,Primary ECM
29,26,412,45,1235,100.0,100.0,0.3,449,463,Primary ECM
30,28,412,45,1238,100.0,99.5,0.2,449,463,Primary ECM
31,28,412,45,1229,100.0,99.5,0.2,449,476,Primary ECM
32,24,412,45,1238,100.0,99.5,0.2,463,476,Primary ECM
33,26,411,45,1229,100.0,99.5,0.2,463,472,Primary ECM
34,28,412,45,1230,100.0,99.5,0.2,468,481,Primary ECM
35,28,412,45,1232,100.0,99.5,0.2,468,481,Primary ECM
36,26,412,45,1234,100.0,100.0,0.3,449,481,Primary ECM
37,26,412,45,1243,100.0,99.5,0.3,458,481,Primary ECM
38,28,414,39,1233,100.0,99.5,0.2,458,485,Primary ECM
39,28,414,39,1191,100.0,100.0,0.2,468,485,Primary ECM
40,22,414,39,1165,100.0,99.5,0.2,468,476,Primary ECM
41,20,413,39,1150,100.0,100.0,0.3,458,485,Primary ECM
42,20,409,39,1139,100.0,100.0,0.2,458,485,Primary ECM
43,24,409,39,1143,100.0,100.0,0.3,468,468,Primary ECM
44,18,407,39,1140,100.0,100.0,0.2,449,468,Primary ECM
45,18,406,38,1153,100.0,100.0,0.2,449,463,Primary ECM
46,18,406,39,1148,100.0,100.0,0.3,454,463,Primary ECM
47,18,406,39,1156,100.0,100.0,0.3,454,472,Primary ECM
48,20,406,39,1154,100.0,100.0,0.1,441,468,Primary ECM
49,18,406,38,1161,100.0,100.0,0.2,441,468,Primary ECM
50,16,407,39,1158,100.0,100.0,0.2,436,463,Primary ECM
51,14,406,38,1161,100.0,100.0,0.2,441,463,Primary ECM
52,16,406,39,1153,100.0,100.0,0.2,441,454,Primary ECM
53,18,406,38,1149,100.0,100.0,0.2,436,454,Primary ECM
54,18,406,39,1149,100.0,100.0,0.2,436,463,Primary ECM
55,14,405,38,1158,100.0,100.0,0.1,441,454,Primary ECM
56,16,406,39,1151,100.0,100.0,0.3,441,454,Primary ECM
57,16,405,39,1151,100.0,100.0,0.2,431,454,Primary ECM
58,18,406,38,1148,100.0,100.0,0.2,441,454,Primary ECM
59,16,405,38,1155,100.0,100.0,0.2,441,454,Primary ECM
60,16,406,38,1148,100.0,100.0,0.2,418,454,Primary ECM
61,14,406,38,1159,100.0,100.0,0.3,418,427,Primary ECM
62,18,406,38,1156,100.0,100.0,0.3,422,441,Primary ECM
63,14,406,38,1157,100.0,100.0,0.2,422,441,Primary ECM
64,16,405,39,1157,100.0,100.0,0.2,418,422,Primary ECM
65,14,405,38,1162,100.0,100.0,0.3,414,422,Primary ECM
66,16,406,39,1156,100.0,100.0,0.3,414,431,Primary ECM
67,12,406,31,1140,100.0,100.0,0.2,414,431,Primary ECM
68,12,407,29,1070,100.0,100.0,0.3,414,441,Primary ECM
69,16,404,30,1027,100.0,100.0,0.2,400,414,Primary ECM
70,12,401,29,1014,100.0,100.0,0.2,400,414,Primary ECM
71,14,397,30,1023,100.0,100.0,0.3,414,431,Primary ECM
72,10,393,30,1023,100.0,100.0,0.3,400,431,Primary ECM
73,10,390,29,1031,100.0,100.0,0.2,400,418,Primary ECM
74,10,390,30,1040,100.0,100.0,0.2,409,418,Primary ECM
75,12,390,30,1036,100.0,100.0,0.2,409,414,Primary ECM
76,10,389,30,1041,100.0,100.0,0.3,400,409,Primary ECM
77,10,390,29,1039,100.0,100.0,0.2,400,409,Primary ECM
78,8,390,30,1034,100.0,100.0,0.3,377,395,Primary ECM
79,8,390,30,1038,100.0,100.0,0.3,377,395,Primary ECM
80,8,389,29,1036,100.0,100.0,0.2,377,409,Primary ECM
81,8,389,29,1025,100.0,100.0,0.2,373,409,Primary ECM
82,10,388,30,1030,100.0,100.0,0.3,373,390,Primary ECM
83,10,388,29,1035,100.0,100.0,0.2,363,400,Primary ECM
84,8,388,29,1027,100.0,100.0,0.2,363,400,Primary ECM
85,10,388,30,1032,100.0,100.0,0.2,373,382,Primary ECM
86,10,388,30,1036,100.0,100.0,0.2,368,382,Primary ECM
87,8,388,30,1031,100.0,100.0,0.2,368,373,Primary ECM
88,10,388,30,1039,100.0,100.0,0.2,359,373,Primary ECM
89,10,388,30,1034,100.0,100.0,0.2,359,390,Primary ECM
