"12/22/2021 20:35","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C",""
90,8,388,29,1034,100.0,100.0,0.2,349,368,Primary ECM
91,8,388,30,1034,100.0,100.0,0.2,349,368,Primary ECM
92,10,388,29,1038,100.0,100.0,0.2,354,377,Primary ECM
93,6,388,30,1036,100.0,100.0,0.3,359,377,Primary ECM
94,8,388,30,1031,100.0,100.0,0.3,359,382,Primary ECM
95,8,388,29,1036,100.0,100.0,0.2,345,382,Primary ECM
96,8,388,30,1034,100.0,100.0,0.3,345,368,Primary ECM
97,6,388,29,1031,100.0,100.0,0.3,345,363,Primary ECM
98,8,388,30,1029,100.0,100.0,0.2,345,363,Primary ECM
99,8,388,29,1035,100.0,100.0,0.2,349,359,Primary ECM
100,6,388,29,1029,100.0,100.0,0.3,359,359,Primary ECM
101,8,387,30,1028,100.0,100.0,0.2,359,354,Primary ECM
102,8,388,30,1030,100.0,100.0,0.2,354,354,Primary ECM
103,8,388,30,1028,100.0,100.0,0.2,354,368,Primary ECM
104,6,387,29,1037,100.0,100.0,0.3,340,359,Primary ECM
105,8,388,30,1032,100.0,100.0,0.2,340,359,Primary ECM
106,8,388,30,1038,100.0,100.0,0.2,354,363,Primary ECM
107,10,389,30,1037,100.0,100.0,0.2,349,363,Primary ECM
108,6,389,29,1035,100.0,100.0,0.2,349,345,Primary ECM
109,8,389,29,1041,100.0,100.0,0.1,354,345,Primary ECM
110,6,389,30,1036,100.0,100.0,0.3,354,359,Primary ECM
111,8,389,30,1035,100.0,100.0,0.2,336,340,Primary ECM
112,8,389,29,1036,100.0,100.0,0.2,336,340,Primary ECM
113,6,389,30,1032,100.0,100.0,0.3,336,359,Primary ECM
114,8,389,30,1033,100.0,100.0,0.3,332,359,Primary ECM
115,6,389,30,1033,100.0,100.0,0.1,332,354,Primary ECM
116,8,389,30,1030,100.0,100.0,0.2,318,354,Primary ECM
117,10,388,30,1037,100.0,100.0,0.3,318,340,Primary ECM
118,6,388,30,1036,100.0,100.0,0.3,318,354,Primary ECM
119,8,388,29,1027,100.0,100.0,0.1,318,354,Primary ECM
120,10,388,29,1028,100.0,100.0,0.2,340,336,Primary ECM
121,10,388,30,1033,100.0,100.0,0.3,322,336,Primary ECM
122,6,388,30,1030,100.0,100.0,0.2,322,336,Primary ECM
123,8,388,30,1034,100.0,100.0,0.2,332,336,Primary ECM
124,8,388,29,1029,100.0,100.0,0.2,332,345,Primary ECM
125,8,388,29,1034,100.0,100.0,0.3,336,345,Primary ECM
126,6,388,30,1041,100.0,100.0,0.2,336,332,Primary ECM
127,8,388,30,1035,100.0,100.0,0.2,332,332,Primary ECM
128,10,389,29,1042,100.0,100.0,0.1,332,340,Primary ECM
129,6,389,30,1042,100.0,100.0,0.2,332,340,Primary ECM
130,6,390,29,1042,100.0,100.0,0.2,332,336,Primary ECM
131,6,390,30,1037,100.0,100.0,0.3,332,336,Primary ECM
132,4,390,30,1032,100.0,100.0,0.2,332,327,Primary ECM
133,6,389,30,1028,100.0,100.0,0.1,332,322,Primary ECM
134,8,389,30,1025,100.0,100.0,0.2,332,322,Primary ECM
135,4,389,30,1031,100.0,100.0,0.2,332,322,Primary ECM
136,6,388,30,1028,100.0,100.0,0.3,322,322,Primary ECM
137,6,388,29,1029,100.0,100.0,0.2,308,327,Primary ECM
138,8,389,29,1038,100.0,100.0,0.2,308,327,Primary ECM
139,4,389,29,1031,100.0,100.0,0.2,308,318,Primary ECM
140,4,389,29,1033,100.0,100.0,0.2,308,332,Primary ECM
141,6,388,30,1029,100.0,100.0,0.2,318,332,Primary ECM
142,8,388,30,1031,100.0,100.0,0.2,318,318,Primary ECM
143,8,388,30,1029,100.0,100.0,0.3,308,318,Primary ECM
144,6,388,29,1029,100.0,100.0,0.2,308,332,Primary ECM
145,6,388,29,1034,100.0,100.0,0.2,308,332,Primary ECM
146,6,388,30,1035,100.0,100.0,0.2,313,332,Primary ECM
147,6,388,29,1030,100.0,100.0,0.2,313,336,Primary ECM
148,4,388,29,1036,100.0,100.0,0.2,304,336,Primary ECM
149,6,389,29,1039,100.0,100.0,0.1,304,318,Primary ECM
150,8,388,30,1031,100.0,100.0,0.3,322,318,Primary ECM
151,6,389,30,1039,100.0,100.0,0.2,318,313,Primary ECM
152,6,389,29,1043,100.0,100.0,0.2,318,313,Primary ECM
153,6,389,30,1030,100.0,100.0,0.2,318,332,Primary ECM
154,6,390,30,1040,100.0,100.0,0.2,318,313,Primary ECM
155,6,390,29,1038,100.0,100.0,0.2,318,313,Primary ECM
156,6,390,29,1034,100.0,100.0,0.2,313,318,Primary ECM
157,6,390,29,1034,100.0,100.0,0.2,313,318,Primary ECM
158,4,389,30,1030,100.0,100.0,0.2,313,308,Primary ECM
159,4,389,30,1030,100.0,100.0,0.2,313,308,Primary ECM
160,6,389,29,1031,100.0,100.0,0.2,308,332,Primary ECM
161,6,389,29,1039,100.0,100.0,0.2,308,313,Primary ECM
162,6,389,29,1036,100.0,100.0,0.2,308,313,Primary ECM
163,8,389,30,1035,100.0,100.0,0.2,308,322,Primary ECM
164,8,389,30,1035,100.0,100.0,0.2,313,322,Primary ECM
165,6,389,30,1027,100.0,100.0,0.2,285,313,Primary ECM
166,4,389,29,1038,100.0,100.0,0.1,285,313,Primary ECM
167,6,390,30,1028,100.0,100.0,0.2,313,304,Primary ECM
168,6,389,29,1030,100.0,100.0,0.3,313,313,Primary ECM
169,6,390,29,1027,100.0,100.0,0.1,290,313,Primary ECM
170,6,390,29,1027,100.0,100.0,0.1,290,304,Primary ECM
171,6,389,29,1029,100.0,100.0,0.2,299,304,Primary ECM
172,4,388,29,1018,100.0,100.0,0.2,304,318,Primary ECM
173,4,388,29,1018,100.0,100.0,0.2,304,318,Primary ECM
174,6,387,29,1028,100.0,100.0,0.2,290,313,Primary ECM
175,6,387,29,1033,100.0,100.0,0.2,290,308,Primary ECM
176,4,387,29,1027,100.0,100.0,0.3,299,308,Primary ECM
177,4,387,29,1027,100.0,100.0,0.3,299,308,Primary ECM
178,6,388,30,1033,100.0,100.0,0.2,304,308,Primary ECM
179,8,388,30,1041,100.0,100.0,0.2,308,322,Primary ECM
180,8,388,30,1041,100.0,100.0,0.2,308,322,Primary ECM
181,6,389,30,1042,100.0,100.0,0.2,313,318,Primary ECM
182,6,390,29,1050,100.0,100.0,0.2,313,313,Primary ECM
183,6,391,29,1042,100.0,100.0,0.2,304,313,Primary ECM
184,6,391,29,1033,100.0,100.0,0.2,304,322,Primary ECM
185,6,391,29,1033,100.0,100.0,0.2,304,322,Primary ECM
186,4,391,30,1035,100.0,100.0,0.2,304,308,Primary ECM
187,4,391,30,1035,100.0,100.0,0.2,304,308,Primary ECM
188,4,391,30,1036,100.0,100.0,0.2,308,318,Primary ECM
189,4,391,30,1036,100.0,100.0,0.2,308,318,Primary ECM
190,6,390,29,1034,100.0,100.0,0.2,299,318,Primary ECM
191,6,389,29,1033,100.0,100.0,0.2,299,313,Primary ECM
192,6,389,29,1033,100.0,100.0,0.2,290,313,Primary ECM
193,4,389,30,1033,100.0,100.0,0.3,299,313,Primary ECM
194,8,389,29,1034,100.0,100.0,0.2,299,313,Primary ECM
195,6,389,29,1039,100.0,100.0,0.2,285,304,Primary ECM
196,6,389,30,1030,100.0,100.0,0.2,285,313,Primary ECM
197,4,389,30,1034,100.0,100.0,0.3,290,313,Primary ECM
198,6,389,30,1028,100.0,100.0,0.2,290,318,Primary ECM
199,6,389,29,1027,100.0,100.0,0.1,299,318,Primary ECM
200,8,389,29,1034,100.0,100.0,0.3,285,318,Primary ECM
201,8,389,29,1034,100.0,100.0,0.3,285,318,Primary ECM
202,4,389,30,1032,100.0,100.0,0.2,299,318,Primary ECM
203,6,389,30,1034,100.0,100.0,0.2,299,313,Primary ECM
204,4,389,30,1027,100.0,100.0,0.3,280,313,Primary ECM
205,4,389,30,1027,100.0,100.0,0.3,280,290,Primary ECM
206,6,389,29,1027,100.0,100.0,0.2,285,290,Primary ECM
207,4,389,29,1038,100.0,100.0,0.2,290,313,Primary ECM
208,4,389,29,1038,100.0,100.0,0.2,290,313,Primary ECM
209,6,389,30,1035,100.0,100.0,0.2,285,308,Primary ECM
210,4,390,29,1036,100.0,100.0,0.2,285,313,Primary ECM
211,4,389,30,1031,100.0,100.0,0.3,299,313,Primary ECM
212,4,389,29,1032,100.0,100.0,0.2,276,290,Primary ECM
213,4,389,29,1032,100.0,100.0,0.2,276,290,Primary ECM
214,6,389,29,1034,100.0,100.0,0.2,299,299,Primary ECM
215,4,388,29,1038,100.0,100.0,0.2,299,299,Primary ECM
216,6,388,29,1030,100.0,100.0,0.2,285,308,Primary ECM
217,6,388,29,1030,100.0,100.0,0.2,285,308,Primary ECM
218,6,389,30,1027,100.0,100.0,0.2,290,308,Primary ECM
219,4,389,29,1034,100.0,100.0,0.2,290,290,Primary ECM
220,6,389,29,1028,100.0,100.0,0.2,285,290,Primary ECM
221,6,389,29,1039,100.0,100.0,0.2,290,304,Primary ECM
222,6,389,29,1039,100.0,100.0,0.2,290,304,Primary ECM
223,6,389,30,1034,100.0,100.0,0.2,299,285,Primary ECM
224,6,389,29,1036,100.0,100.0,0.2,299,290,Primary ECM
225,6,389,29,1036,100.0,100.0,0.2,285,290,Primary ECM
226,4,389,29,1030,100.0,100.0,0.2,285,304,Primary ECM
227,4,389,29,1035,100.0,100.0,0.2,280,304,Primary ECM
228,6,389,29,1029,100.0,100.0,0.2,280,299,Primary ECM
229,6,389,29,1029,100.0,100.0,0.2,280,299,Primary ECM
230,8,389,30,1034,100.0,100.0,0.4,280,313,Primary ECM
231,4,389,29,1034,100.0,100.0,0.1,280,285,Primary ECM
232,6,389,30,1038,100.0,100.0,0.2,280,285,Primary ECM
233,6,389,30,1038,100.0,100.0,0.2,280,299,Primary ECM
234,4,389,30,1037,100.0,100.0,0.2,271,299,Primary ECM
235,4,388,30,1031,100.0,100.0,0.2,290,299,Primary ECM
236,4,388,30,1031,100.0,100.0,0.2,290,299,Primary ECM
237,6,388,30,1030,100.0,100.0,0.2,276,308,Primary ECM
238,4,389,30,1028,100.0,100.0,0.2,276,299,Primary ECM
239,4,389,30,1038,100.0,100.0,0.2,290,299,Primary ECM
240,8,389,29,1030,100.0,100.0,0.3,280,285,Primary ECM
241,8,389,29,1030,100.0,100.0,0.3,280,285,Primary ECM
242,6,389,29,1036,100.0,100.0,0.2,285,308,Primary ECM
243,6,389,29,1036,100.0,100.0,0.2,285,308,Primary ECM
244,6,389,29,1027,100.0,100.0,0.3,285,280,Primary ECM
245,6,389,29,1027,100.0,100.0,0.3,285,299,Primary ECM
246,4,388,30,1033,100.0,100.0,0.2,271,299,Primary ECM
247,6,389,30,1033,100.0,100.0,0.2,271,285,Primary ECM
248,4,389,29,1036,100.0,100.0,0.4,280,285,Primary ECM
249,4,389,29,1036,100.0,100.0,0.4,276,304,Primary ECM
250,4,389,29,1039,100.0,100.0,0.2,276,304,Primary ECM
251,4,390,30,1034,100.0,100.0,0.2,276,285,Primary ECM
252,6,390,29,1030,100.0,100.0,0.3,276,285,Primary ECM
253,4,390,30,1038,100.0,100.0,0.2,290,285,Primary ECM
254,4,390,30,1038,100.0,100.0,0.2,290,308,Primary ECM
255,6,390,30,1027,100.0,100.0,0.2,285,308,Primary ECM
256,4,390,30,1037,100.0,100.0,0.2,299,285,Primary ECM
257,4,390,30,1037,100.0,100.0,0.2,299,285,Primary ECM
258,6,390,29,1028,100.0,100.0,0.2,266,299,Primary ECM
259,6,390,29,1028,100.0,100.0,0.2,266,290,Primary ECM
260,4,390,30,1036,100.0,100.0,0.2,271,290,Primary ECM
261,4,390,30,1036,100.0,100.0,0.2,271,304,Primary ECM
262,6,390,29,1038,100.0,100.0,0.2,271,304,Primary ECM
263,6,390,29,1028,100.0,100.0,0.2,285,290,Primary ECM
264,6,390,29,1028,100.0,100.0,0.2,285,290,Primary ECM
265,6,390,29,1035,100.0,100.0,0.1,271,290,Primary ECM
266,6,390,30,1034,100.0,100.0,0.2,271,290,Primary ECM
267,4,390,29,1035,100.0,100.0,0.2,285,290,Primary ECM
268,4,390,29,1038,100.0,100.0,0.2,285,290,Primary ECM
269,4,390,29,1038,100.0,100.0,0.2,266,290,Primary ECM
270,4,390,30,1028,100.0,100.0,0.2,271,304,Primary ECM
271,4,390,30,1028,100.0,100.0,0.2,271,304,Primary ECM
272,6,390,29,1029,100.0,100.0,0.2,285,290,Primary ECM
273,6,390,29,1029,100.0,100.0,0.2,285,290,Primary ECM
274,4,390,30,1034,100.0,100.0,0.2,262,290,Primary ECM
275,4,390,30,1033,100.0,100.0,0.2,262,304,Primary ECM
276,4,390,30,1033,100.0,100.0,0.2,271,304,Primary ECM
277,6,390,29,1035,100.0,100.0,0.2,280,280,Primary ECM
278,4,391,30,1036,100.0,100.0,0.3,280,280,Primary ECM
279,4,390,29,1028,100.0,100.0,0.2,285,308,Primary ECM
280,8,390,30,1035,100.0,100.0,0.2,285,290,Primary ECM
281,4,390,30,1031,100.0,100.0,0.2,285,290,Primary ECM
282,4,390,30,1031,100.0,100.0,0.2,285,280,Primary ECM
283,4,390,30,1031,100.0,100.0,0.1,285,280,Primary ECM
284,6,390,30,1034,100.0,100.0,0.3,266,276,Primary ECM
285,6,390,30,1034,100.0,100.0,0.3,266,276,Primary ECM
286,6,390,30,1036,100.0,100.0,0.1,285,299,Primary ECM
287,4,390,30,1032,100.0,100.0,0.2,285,304,Primary ECM
288,6,390,29,1032,100.0,100.0,0.2,276,304,Primary ECM
289,6,390,29,1032,100.0,100.0,0.2,276,304,Primary ECM
290,4,390,29,1032,100.0,100.0,0.1,262,304,Primary ECM
291,8,390,30,1033,100.0,100.0,0.3,262,280,Primary ECM
292,4,390,30,1031,100.0,100.0,0.2,285,280,Primary ECM
293,4,390,30,1031,100.0,100.0,0.2,285,276,Primary ECM
294,6,391,30,1034,100.0,100.0,0.2,280,299,Primary ECM
295,6,390,30,1031,100.0,100.0,0.3,280,299,Primary ECM
296,4,390,29,1029,100.0,100.0,0.2,262,290,Primary ECM
297,4,390,29,1029,100.0,100.0,0.2,262,290,Primary ECM
298,8,389,30,1027,100.0,100.0,0.2,280,276,Primary ECM
299,6,389,29,1030,100.0,100.0,0.3,271,276,Primary ECM
300,4,389,29,1031,100.0,100.0,0.1,271,290,Primary ECM
301,4,389,29,1031,100.0,100.0,0.1,280,290,Primary ECM
302,6,389,30,1030,100.0,100.0,0.2,280,304,Primary ECM
303,4,390,29,1029,100.0,100.0,0.2,271,285,Primary ECM
304,4,390,29,1029,100.0,100.0,0.2,271,285,Primary ECM
305,4,390,30,1034,100.0,100.0,0.1,266,276,Primary ECM
306,4,390,30,1035,100.0,100.0,0.2,262,276,Primary ECM
307,4,390,29,1034,100.0,100.0,0.2,262,285,Primary ECM
308,4,389,30,1029,100.0,100.0,0.2,266,285,Primary ECM
309,4,389,30,1029,100.0,100.0,0.2,266,304,Primary ECM
310,4,389,30,1029,100.0,100.0,0.2,271,280,Primary ECM
311,4,389,30,1029,100.0,100.0,0.2,271,280,Primary ECM
312,6,389,30,1037,100.0,100.0,0.3,271,280,Primary ECM
313,6,389,30,1037,100.0,100.0,0.3,276,280,Primary ECM
314,4,390,30,1037,100.0,100.0,0.2,276,290,Primary ECM
315,6,390,29,1034,100.0,100.0,0.2,271,290,Primary ECM
316,6,390,30,1037,100.0,100.0,0.2,271,280,Primary ECM
317,6,390,30,1032,100.0,100.0,0.2,262,299,Primary ECM
318,6,390,30,1032,100.0,100.0,0.2,262,299,Primary ECM
319,4,390,30,1036,100.0,100.0,0.2,262,290,Primary ECM
320,4,389,30,1036,100.0,100.0,0.3,280,290,Primary ECM
321,4,389,30,1033,100.0,100.0,0.2,280,299,Primary ECM
322,4,389,30,1036,100.0,100.0,0.1,276,299,Primary ECM
323,4,389,29,1035,100.0,100.0,0.1,276,299,Primary ECM
324,6,389,29,1034,100.0,100.0,0.3,262,280,Primary ECM
325,6,389,29,1034,100.0,100.0,0.3,262,280,Primary ECM
326,4,390,30,1036,100.0,100.0,0.2,276,304,Primary ECM
327,4,390,29,1028,100.0,100.0,0.3,266,304,Primary ECM
328,4,389,29,1040,100.0,100.0,0.2,266,280,Primary ECM
329,4,389,29,1040,100.0,100.0,0.2,285,280,Primary ECM
330,4,390,30,1038,100.0,100.0,0.3,285,290,Primary ECM
331,6,389,30,1034,100.0,100.0,0.3,262,280,Primary ECM
332,6,389,30,1034,100.0,100.0,0.3,262,280,Primary ECM
333,4,389,30,1030,100.0,100.0,0.2,266,290,Primary ECM
334,6,389,30,1035,100.0,100.0,0.2,262,290,Primary ECM
335,2,389,29,1029,100.0,100.0,0.3,262,290,Primary ECM
336,4,390,30,1039,100.0,100.0,0.1,257,290,Primary ECM
337,4,390,30,1039,100.0,100.0,0.1,257,280,Primary ECM
338,4,390,30,1038,100.0,100.0,0.2,280,280,Primary ECM
339,4,390,30,1038,100.0,100.0,0.2,280,280,Primary ECM
340,4,390,29,1032,100.0,100.0,0.2,276,299,Primary ECM
341,4,390,29,1034,100.0,100.0,0.2,257,299,Primary ECM
342,4,389,30,1029,100.0,100.0,0.3,257,271,Primary ECM
343,4,389,29,1032,100.0,100.0,0.2,271,299,Primary ECM
344,4,389,30,1028,100.0,100.0,0.2,271,299,Primary ECM
345,6,388,30,1032,100.0,100.0,0.2,257,276,Primary ECM
346,2,388,29,1036,100.0,100.0,0.3,257,276,Primary ECM
347,6,388,29,1028,100.0,100.0,0.2,271,299,Primary ECM
348,4,389,30,1034,100.0,100.0,0.2,266,299,Primary ECM
349,8,389,30,1031,100.0,100.0,0.2,266,280,Primary ECM
350,8,389,30,1031,100.0,100.0,0.2,266,280,Primary ECM
351,6,390,29,1031,100.0,100.0,0.2,266,276,Primary ECM
352,6,389,30,1031,100.0,100.0,0.1,266,290,Primary ECM
353,6,390,30,1035,100.0,100.0,0.2,266,290,Primary ECM
354,6,389,30,1031,100.0,100.0,0.2,262,280,Primary ECM
355,4,389,29,1033,100.0,100.0,0.1,271,280,Primary ECM
356,4,389,30,1035,100.0,100.0,0.2,271,280,Primary ECM
357,4,389,30,1030,100.0,100.0,0.3,276,280,Primary ECM
358,4,389,29,1036,100.0,100.0,0.3,276,299,Primary ECM
359,6,389,30,1037,100.0,100.0,0.2,257,276,Primary ECM
360,4,389,29,1033,100.0,100.0,0.4,257,276,Primary ECM
361,4,389,29,1033,100.0,100.0,0.4,276,285,Primary ECM
362,4,390,29,1033,100.0,100.0,0.1,276,285,Primary ECM
363,4,390,29,1036,100.0,100.0,0.2,276,276,Primary ECM
364,4,390,30,1031,100.0,100.0,0.3,266,276,Primary ECM
365,4,390,30,1031,100.0,100.0,0.3,266,290,Primary ECM
366,4,389,29,1034,100.0,100.0,0.1,271,276,Primary ECM
367,6,389,30,1034,100.0,100.0,0.2,271,276,Primary ECM
368,6,389,29,1028,100.0,100.0,0.2,266,276,Primary ECM
369,4,389,29,1029,100.0,100.0,0.2,262,276,Primary ECM
370,4,390,30,1031,100.0,100.0,0.2,262,290,Primary ECM
371,8,389,30,1029,100.0,100.0,0.4,266,285,Primary ECM
372,4,390,30,1030,100.0,100.0,0.3,266,285,Primary ECM
373,4,390,29,1036,100.0,100.0,0.2,266,299,Primary ECM
374,4,390,29,1036,100.0,100.0,0.2,266,299,Primary ECM
375,2,389,29,1034,100.0,100.0,0.3,276,290,Primary ECM
376,4,389,30,1036,100.0,100.0,0.3,252,290,Primary ECM
377,4,390,30,1029,100.0,100.0,0.2,252,276,Primary ECM
378,4,390,29,1036,100.0,100.0,0.3,280,280,Primary ECM
379,2,389,30,1033,100.0,100.0,0.3,280,280,Primary ECM
380,6,390,30,1037,100.0,100.0,0.2,271,299,Primary ECM
381,4,390,30,1034,100.0,100.0,0.1,271,299,Primary ECM
382,6,389,30,1032,100.0,100.0,0.3,257,290,Primary ECM
383,4,389,30,1029,100.0,100.0,0.2,266,290,Primary ECM
384,4,389,30,1030,100.0,100.0,0.2,266,276,Primary ECM
385,4,389,30,1030,100.0,100.0,0.2,271,276,Primary ECM
386,4,389,29,1029,100.0,100.0,0.2,271,276,Primary ECM
387,4,389,30,1028,100.0,100.0,0.2,271,299,Primary ECM
388,4,390,30,1029,100.0,100.0,0.2,271,299,Primary ECM
389,4,390,30,1029,100.0,100.0,0.2,262,285,Primary ECM
390,4,389,30,1028,100.0,100.0,0.2,280,285,Primary ECM
391,4,389,30,1038,100.0,100.0,0.1,280,285,Primary ECM
392,4,390,30,1036,100.0,100.0,0.2,262,285,Primary ECM
393,6,390,30,1031,100.0,100.0,0.3,262,290,Primary ECM
394,4,389,30,1030,100.0,100.0,0.2,266,276,Primary ECM
395,4,389,29,1037,100.0,100.0,0.2,266,276,Primary ECM
396,4,389,29,1031,100.0,100.0,0.2,276,299,Primary ECM
397,6,389,30,1035,100.0,100.0,0.3,280,299,Primary ECM
398,4,388,30,1031,100.0,100.0,0.1,280,280,Primary ECM
399,6,389,30,1030,100.0,100.0,0.2,280,280,Primary ECM
400,2,389,30,1032,100.0,100.0,0.2,280,276,Primary ECM
401,4,390,29,1032,100.0,100.0,0.3,257,299,Primary ECM
