"12/22/2021 22:02","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
5,0,262,0,648,100.5,100.5,0.1,Timed Out,80
6,0,262,0,648,100.5,100.5,0.0,107,91
7,0,262,0,650,100.5,100.5,0.0,107,91
8,2,262,0,649,100.5,100.5,0.1,102,74
9,2,262,0,650,100.5,100.5,0.1,102,91
10,0,262,0,651,100.5,100.0,0.1,107,85
11,0,262,0,650,100.5,100.5,0.1,107,80
12,0,262,0,650,100.5,100.5,0.0,112,80
13,0,262,0,651,100.5,100.5,0.1,112,80
14,0,262,0,650,100.5,100.5,0.1,112,96
15,0,262,0,650,100.5,100.5,0.0,118,80
16,0,262,0,650,100.5,100.5,0.0,118,80
17,2,262,0,652,100.5,100.5,0.1,96,74
18,2,262,0,652,100.5,100.5,0.1,96,74
19,0,262,0,651,100.5,100.5,0.1,118,96
20,0,262,0,651,100.5,100.5,0.1,118,96
21,0,262,0,652,100.5,100.5,-0.7,112,80
22,2,262,0,649,100.5,100.5,0.1,102,96
23,2,262,0,649,100.5,100.5,0.1,102,96
24,0,262,0,649,100.5,100.5,0.0,112,91
25,2,262,0,650,100.5,100.5,0.1,112,74
26,0,263,0,650,100.5,100.5,0.1,118,74
27,0,262,0,650,100.5,100.5,0.1,118,91
28,0,262,0,648,100.5,100.5,0.1,102,74
29,0,262,0,651,100.5,100.5,0.1,107,96
30,0,262,0,651,100.5,100.5,0.1,107,85
31,0,262,0,651,100.5,100.5,0.1,102,74
32,0,262,0,652,100.5,100.5,0.0,102,85
33,0,262,0,652,100.5,100.5,0.1,96,85
34,0,262,0,652,100.5,100.5,0.1,96,85
35,2,262,0,651,100.5,100.5,0.1,107,74
36,0,262,0,650,100.5,100.5,0.1,118,85
37,0,262,0,649,100.5,100.5,0.1,118,96
38,0,262,0,649,100.5,100.5,0.1,112,96
39,0,262,0,650,100.5,100.5,0.1,112,80
40,0,262,0,650,100.5,100.5,0.0,96,91
41,0,262,0,652,100.5,100.5,0.1,96,96
42,0,262,0,651,100.5,100.5,0.1,112,74
43,0,263,0,651,100.5,100.5,0.1,112,96
44,0,262,0,650,100.5,100.5,0.0,112,80
45,0,263,0,651,100.5,100.5,0.1,96,85
46,0,262,0,649,100.5,100.5,0.1,96,80
47,0,262,0,650,100.5,100.5,0.0,96,80
48,0,262,0,651,100.5,100.5,0.1,96,74
49,0,262,0,651,100.5,100.5,0.1,118,91
50,0,262,0,648,100.5,100.5,0.1,102,85
51,0,262,0,648,100.5,100.5,0.0,102,80
52,0,263,0,651,100.5,100.5,0.0,112,80
53,0,262,0,649,100.5,100.5,0.1,112,91
54,0,263,0,650,100.5,100.5,0.1,107,91
55,0,263,0,650,100.5,100.5,0.1,107,91
56,0,262,0,650,100.5,100.5,0.1,96,80
57,0,262,0,650,100.5,100.5,0.1,112,80
58,0,262,0,650,100.5,100.5,0.0,112,91
59,0,262,0,650,100.5,100.5,0.0,107,91
60,0,262,0,650,100.5,100.0,0.0,107,96
61,0,262,0,651,100.5,100.5,0.1,96,85
62,0,262,0,650,100.5,100.5,0.0,96,80
63,0,262,0,650,100.5,100.5,0.0,118,91
64,0,262,0,650,100.5,100.5,0.0,118,91
65,0,262,0,650,100.5,100.5,0.1,112,96
66,0,262,0,650,100.5,100.5,0.1,112,96
67,0,263,0,651,100.5,100.0,0.1,96,80
68,0,262,0,650,100.5,100.5,0.1,96,91
69,0,262,0,650,100.5,100.5,0.0,107,85
70,2,262,0,648,100.5,100.5,0.1,96,80
71,2,262,0,648,100.5,100.5,0.1,96,80
72,2,262,0,651,100.5,100.5,0.1,96,74
73,2,262,0,651,100.5,100.5,0.1,96,74
74,0,262,0,650,100.5,100.5,0.1,112,74
75,0,262,0,650,100.5,100.5,0.1,112,74
76,0,262,0,648,100.5,100.5,0.0,107,96
77,0,262,0,650,100.5,100.5,0.1,107,80
78,0,262,0,650,100.5,100.5,0.1,107,80
79,0,262,0,649,100.5,100.5,0.1,96,96
80,0,262,0,649,100.5,100.5,0.1,96,96
81,0,262,0,652,100.5,100.5,0.1,102,80
82,0,262,0,652,100.5,100.5,0.1,102,80
83,0,262,0,650,100.5,100.5,0.1,96,74
84,0,262,0,651,100.5,100.5,0.1,107,91
85,0,262,0,651,100.5,100.5,0.1,107,91
86,2,262,0,650,100.5,100.5,0.1,96,74
87,2,262,0,650,100.5,100.5,0.1,96,74
88,0,262,0,652,100.5,100.5,0.0,107,85
89,0,262,0,652,100.5,100.5,0.0,107,85
90,0,262,0,651,100.5,100.5,0.1,112,91
91,0,262,0,651,100.5,100.5,0.1,102,96
92,0,262,0,651,100.5,100.5,0.1,102,96
93,0,263,0,650,100.5,100.5,0.1,112,80
94,0,263,0,650,100.5,100.5,0.1,112,80
95,0,262,0,648,100.5,100.5,0.1,118,91
96,0,263,0,652,100.5,100.5,0.0,118,85
97,0,262,0,651,100.5,100.5,0.1,96,85
98,0,262,0,648,100.5,100.5,0.1,96,96
99,0,262,0,648,100.5,100.5,0.1,96,96
100,0,263,0,651,100.5,100.5,0.0,96,96
101,0,263,0,651,100.5,100.5,0.0,96,96
102,0,263,0,651,100.5,100.5,0.1,112,85
103,0,263,0,651,100.5,100.5,0.1,112,85
104,0,262,0,651,100.5,100.5,0.1,112,96
105,0,262,0,648,100.5,100.5,0.0,96,96
106,0,262,0,652,100.5,100.5,0.1,96,96
107,0,262,0,651,100.5,100.5,0.1,96,96
108,0,263,0,651,100.5,100.5,0.1,96,91
109,0,263,0,650,100.5,100.5,0.1,102,80
110,0,263,0,650,100.5,100.5,0.1,102,80
111,0,262,0,650,100.5,100.5,0.1,102,85
112,0,263,0,650,100.5,100.5,0.0,112,85
113,0,263,0,650,100.5,100.5,0.0,112,85
114,0,263,0,650,100.5,100.5,0.0,96,74
115,0,263,0,650,100.5,100.5,0.0,96,74
116,0,263,0,650,100.5,100.5,0.1,107,80
117,0,263,0,651,100.5,100.5,0.0,107,91
118,0,263,0,649,100.5,100.5,-0.7,107,96
119,0,263,0,650,100.5,100.5,0.0,102,74
120,0,263,0,650,100.5,100.5,0.0,102,74
121,0,263,0,652,100.5,100.0,0.1,118,91
122,0,263,0,652,100.5,100.0,0.1,118,91
123,0,262,0,649,100.5,100.5,0.0,112,74
124,0,262,0,649,100.5,100.5,0.1,112,74
125,0,263,0,651,100.5,100.5,-0.7,118,74
126,0,263,0,650,100.5,100.5,0.1,96,96
