"12/22/2021 19:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","Deg C","kPa","Deg C","Deg C","Deg C","kPa","kPa"
"Sample #","Engine Coolant Temperature","Peak Air Filter Restriction","Aftercooler Temperature","Right Exhaust Temperature","Left Exhaust Temperature","Right Air Filter Restriction","Left Air Filter Restriction"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
557,78,2.5,32,340,354,0.4,0.5
558,78,2.5,32,336,363,0.3,0.5
559,78,2.5,32,349,354,0.3,0.5
560,78,2.5,32,340,349,0.3,0.5
561,78,2.5,32,345,354,0.4,0.6
562,78,2.5,32,340,349,0.4,0.6
563,78,2.5,32,349,349,0.3,0.5
564,78,2.5,32,340,359,0.4,0.5
565,78,2.5,32,336,354,0.4,0.5
566,78,2.5,32,354,368,0.4,0.5
567,78,2.5,32,336,349,0.3,0.5
568,78,2.5,32,336,345,0.3,0.5
569,78,2.5,32,340,368,0.3,0.5
570,78,2.5,32,336,349,0.3,0.5
571,78,2.5,32,354,349,0.4,0.5
572,78,2.5,32,354,363,0.3,0.5
573,78,2.5,32,363,354,0.4,0.6
574,78,2.5,32,354,359,0.3,0.5
575,78,2.5,32,345,368,0.3,0.6
576,78,2.5,32,359,349,0.3,0.5
577,78,2.5,32,345,345,0.3,0.6
578,78,2.5,32,354,354,0.3,0.6
579,78,2.5,32,354,359,0.3,0.6
580,78,2.5,32,340,359,0.4,0.5
581,78,2.5,32,349,368,0.4,0.5
582,78,2.5,32,354,363,0.3,0.5
583,78,2.5,32,354,349,0.4,0.5
584,78,2.5,32,359,354,0.3,0.6
585,78,2.5,32,363,368,0.4,0.6
586,78,2.5,32,349,349,0.4,0.5
587,78,2.5,32,345,354,0.3,0.5
588,78,2.5,32,349,349,0.3,0.5
589,78,2.5,32,354,373,0.4,0.6
590,78,2.5,32,363,373,0.4,0.5
591,78,2.5,32,368,359,0.3,0.5
592,78,2.5,32,368,349,0.4,0.5
593,78,2.5,32,349,377,0.3,0.5
594,78,2.5,32,354,359,0.3,0.5
595,78,2.5,32,354,354,0.3,0.5
596,78,2.5,32,349,363,0.3,0.6
597,78,2.5,32,349,363,0.4,0.6
598,78,2.5,32,373,359,0.4,0.6
599,78,2.5,32,373,363,0.3,0.6
600,78,2.5,32,368,377,0.3,0.5
601,78,2.5,32,363,354,0.3,0.6
602,78,2.5,32,349,368,0.4,0.5
603,78,2.5,32,368,373,0.3,0.5
604,78,2.5,32,354,359,0.3,0.5
605,78,2.5,32,359,377,0.3,0.6
606,78,2.5,32,354,373,0.3,0.6
607,78,2.5,32,377,359,0.3,0.5
608,78,2.5,32,359,373,0.3,0.5
609,78,2.5,32,368,359,0.3,0.5
610,78,2.5,32,373,368,0.3,0.5
611,78,2.5,32,373,373,0.3,0.5
612,78,2.5,32,363,377,0.4,0.5
613,78,2.5,32,368,373,0.4,0.6
614,78,2.5,32,359,373,0.3,0.5
615,78,2.5,32,349,373,0.3,0.5
616,78,2.5,32,368,382,0.4,0.5
617,78,2.5,32,354,363,0.3,0.5
618,78,2.5,32,349,382,0.4,0.5
619,78,2.5,32,373,359,0.3,0.5
620,78,2.5,32,373,382,0.3,0.5
621,78,2.5,32,368,363,0.3,0.5
622,78,2.5,32,359,363,0.4,0.6
623,78,2.5,32,359,377,0.3,0.5
624,78,2.5,32,349,354,0.3,0.5
625,78,2.5,32,349,363,0.4,0.6
626,78,2.5,32,373,359,0.3,0.5
627,78,2.5,32,368,354,0.4,0.5
628,78,2.5,32,354,377,0.3,0.5
629,78,2.5,32,354,363,0.4,0.5
630,78,2.5,32,354,377,0.3,0.5
631,78,2.5,32,349,363,0.4,0.5
632,78,2.5,32,368,373,0.3,0.5
633,78,2.5,32,373,363,0.3,0.5
634,78,2.5,32,363,359,0.4,0.5
635,78,2.5,32,363,354,0.3,0.6
636,78,2.5,32,363,368,0.3,0.5
637,78,2.5,32,368,363,0.4,0.5
638,78,2.5,32,349,363,0.3,0.6
639,78,2.5,32,354,363,0.4,0.5
640,78,2.5,32,368,373,0.4,0.5
641,78,2.5,32,354,354,0.3,0.6
642,78,2.5,32,363,373,0.3,0.6
643,78,2.5,32,359,363,0.4,0.6
644,78,2.5,32,345,373,0.4,0.5
645,78,2.5,32,359,373,0.3,0.6
646,78,2.5,32,363,354,0.3,0.5
647,78,2.5,32,363,359,0.3,0.5
648,78,2.5,32,363,359,0.3,0.5
649,78,2.5,32,363,359,0.3,0.5
650,78,2.5,32,349,368,0.3,0.5
651,78,2.5,32,349,368,0.3,0.5
652,78,2.5,32,345,359,0.4,0.5
653,78,2.5,32,349,368,0.4,0.6
654,78,2.5,32,349,368,0.4,0.6
655,78,2.5,32,359,363,0.3,0.5
656,78,2.5,32,368,354,0.3,0.5
657,78,2.5,32,345,368,0.3,0.5
658,78,2.5,32,345,368,0.3,0.5
659,78,2.5,32,340,359,0.3,0.5
660,78,2.5,32,363,373,0.3,0.5
661,78,2.5,32,354,363,0.4,0.6
662,78,2.5,32,345,377,0.4,0.5
663,78,2.5,32,345,377,0.4,0.5
664,78,2.5,32,359,363,0.3,0.5
665,78,2.5,32,368,363,0.3,0.5
666,78,2.5,32,368,363,0.3,0.5
667,78,2.5,32,359,359,0.3,0.4
668,78,2.5,32,340,359,0.2,0.4
669,78,2.5,32,332,359,0.2,0.4
670,78,2.5,32,332,359,0.2,0.4
671,78,2.5,32,327,345,0.3,0.4
672,78,2.5,32,340,354,0.3,0.4
673,78,2.5,32,336,349,0.2,0.3
674,78,2.5,32,336,349,0.2,0.3
675,78,2.5,32,322,345,0.2,0.4
676,78,2.5,32,327,327,0.2,0.4
677,78,2.5,32,327,345,0.2,0.4
678,78,2.5,32,336,336,0.2,0.3
679,78,2.5,32,336,336,0.2,0.3
680,78,2.5,32,336,322,0.2,0.4
681,78,2.5,32,318,322,0.2,0.3
682,78,2.5,32,318,322,0.2,0.3
683,78,2.5,32,322,332,0.2,0.3
684,78,2.5,32,308,340,0.2,0.4
685,78,2.5,32,318,340,0.3,0.3
686,78,2.5,32,318,340,0.3,0.3
687,78,2.5,32,327,332,0.2,0.4
688,78,2.5,32,304,327,0.2,0.4
689,78,2.5,32,304,327,0.3,0.3
690,78,2.5,32,304,327,0.3,0.3
691,78,2.5,32,318,327,0.2,0.4
692,78,2.5,32,308,322,0.2,0.4
693,78,2.5,32,308,332,0.2,0.4
694,78,2.5,32,308,332,0.2,0.4
695,78,2.5,32,299,313,0.2,0.3
696,78,2.5,32,318,332,0.2,0.4
697,78,2.5,32,313,322,0.2,0.4
698,78,2.5,32,313,322,0.2,0.4
699,78,2.5,32,318,318,0.2,0.4
700,78,2.5,32,318,332,0.3,0.4
701,78,2.5,32,304,313,0.3,0.4
702,78,2.5,32,304,313,0.3,0.4
703,78,2.5,32,290,332,0.3,0.5
704,78,2.5,32,313,308,0.2,0.4
705,78,2.5,32,308,327,0.2,0.3
706,78,2.5,32,304,313,0.2,0.4
707,78,2.5,32,304,313,0.2,0.4
708,78,2.5,32,290,318,0.2,0.4
709,78,2.5,32,290,308,0.2,0.4
710,78,2.5,32,290,308,0.2,0.4
711,78,2.5,32,299,313,0.2,0.4
712,78,2.5,32,280,322,0.2,0.4
713,78,2.5,32,285,308,0.1,0.4
714,78,2.5,32,285,308,0.1,0.4
715,78,2.5,32,304,313,0.2,0.4
716,78,2.5,32,290,322,0.2,0.4
717,78,2.5,32,285,318,0.2,0.4
718,78,2.5,32,285,318,0.2,0.4
719,78,2.5,32,285,313,0.2,0.4
720,78,2.5,32,299,308,0.2,0.4
721,78,2.5,32,308,304,0.1,0.4
722,78,2.5,32,308,304,0.1,0.4
723,78,2.5,32,290,313,0.2,0.4
724,78,2.5,32,285,322,0.2,0.5
725,78,2.5,32,304,308,0.2,0.4
726,78,2.5,32,304,308,0.2,0.4
727,78,2.5,32,276,318,0.2,0.4
728,78,2.5,32,290,322,0.2,0.4
729,78,2.5,32,299,313,0.2,0.4
730,78,2.5,32,299,313,0.2,0.4
731,78,2.5,32,304,318,0.2,0.4
732,78,2.5,32,280,304,0.1,0.4
733,78,2.5,32,280,308,0.2,0.4
734,78,2.5,32,285,308,0.2,0.4
735,78,2.5,32,285,308,0.2,0.4
736,78,2.5,32,285,322,0.2,0.4
737,78,2.5,32,304,304,0.2,0.4
738,78,2.5,32,304,304,0.2,0.4
739,78,2.5,32,290,327,0.3,0.5
740,78,2.5,32,290,308,0.2,0.3
741,78,2.5,32,280,327,0.2,0.3
742,78,2.5,32,280,327,0.2,0.3
743,78,2.5,32,285,304,0.2,0.4
744,78,2.5,32,276,327,0.2,0.4
745,78,2.5,32,290,318,0.2,0.4
746,78,2.5,32,290,318,0.2,0.4
747,78,2.5,32,304,308,0.2,0.4
748,78,2.5,32,290,322,0.2,0.3
749,78,2.5,32,290,313,0.1,0.4
750,78,2.5,32,290,313,0.1,0.4
751,78,2.5,32,280,304,0.2,0.4
752,78,2.5,32,285,313,0.2,0.4
753,78,2.5,32,304,304,0.2,0.3
754,78,2.5,32,304,304,0.2,0.3
755,78,2.5,32,299,318,0.2,0.4
756,78,2.5,32,280,327,0.2,0.4
757,78,2.5,32,280,322,0.2,0.3
758,78,2.5,32,280,322,0.2,0.3
759,78,2.5,32,299,322,0.2,0.2
760,78,2.5,32,290,322,0.1,0.2
761,78,2.5,32,285,318,0.1,0.3
762,78,2.5,32,285,304,0.0,0.1
763,78,2.5,32,285,304,0.0,0.1
764,78,2.5,32,262,285,0.0,0.2
765,78,2.5,32,271,299,0.0,0.2
766,78,2.5,32,271,299,0.0,0.2
767,78,2.5,32,271,290,0.0,0.3
768,78,2.5,32,276,299,0.0,0.2
769,78,2.5,32,262,299,0.0,0.2
770,78,2.5,32,262,299,0.0,0.2
771,78,2.5,32,252,280,0.1,0.2
772,78,2.5,32,247,290,0.0,0.2
"12/22/2021 19:43","Data Logging Canceled","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
