"12/22/2021 19:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","Deg C","kPa","Deg C","Deg C","Deg C","kPa","kPa"
"Sample #","Engine Coolant Temperature","Peak Air Filter Restriction","Aftercooler Temperature","Right Exhaust Temperature","Left Exhaust Temperature","Right Air Filter Restriction","Left Air Filter Restriction"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
136,78,2.5,31,386,373,0.3,0.5
137,78,2.5,31,386,386,0.3,0.5
138,78,2.5,31,390,395,0.3,0.6
139,78,2.5,31,368,377,0.4,0.5
140,78,2.5,31,377,382,0.4,0.6
141,78,2.5,31,377,377,0.3,0.5
142,78,2.5,31,368,395,0.4,0.5
143,78,2.5,31,377,373,0.4,0.6
144,78,2.5,31,377,377,0.3,0.5
145,78,2.5,31,386,368,0.4,0.6
146,78,2.5,31,386,377,0.4,0.5
147,78,2.5,31,382,377,0.4,0.5
148,78,2.5,31,363,373,0.3,0.5
149,78,2.5,31,382,386,0.3,0.5
150,78,2.5,31,368,373,0.4,0.5
151,78,2.5,31,363,368,0.3,0.5
152,78,2.5,31,363,386,0.4,0.5
153,78,2.5,31,368,373,0.4,0.5
154,78,2.5,31,377,382,0.3,0.5
155,78,2.5,31,377,377,0.3,0.5
156,78,2.5,32,368,382,0.4,0.5
157,78,2.5,32,377,363,0.3,0.5
158,78,2.5,32,373,363,0.3,0.5
159,78,2.5,32,373,382,0.3,0.5
160,78,2.5,32,359,382,0.3,0.5
161,78,2.5,32,359,373,0.3,0.6
162,78,2.5,32,373,368,0.4,0.5
163,78,2.5,32,377,373,0.4,0.5
164,78,2.5,32,377,363,0.4,0.5
165,78,2.5,32,363,373,0.4,0.6
166,78,2.5,32,363,386,0.4,0.5
167,78,2.5,32,373,373,0.4,0.6
168,78,2.5,32,359,377,0.4,0.5
169,78,2.5,32,368,382,0.4,0.6
170,78,2.5,32,359,368,0.3,0.5
171,78,2.5,32,373,377,0.3,0.6
172,78,2.5,32,377,368,0.3,0.5
173,78,2.5,32,368,373,0.4,0.5
174,78,2.5,32,359,382,0.3,0.5
175,78,2.5,32,363,377,0.3,0.6
176,78,2.5,32,359,373,0.4,0.5
177,78,2.5,32,349,377,0.4,0.6
178,78,2.5,32,359,363,0.3,0.5
179,78,2.5,32,363,363,0.4,0.6
180,78,2.5,32,377,359,0.4,0.5
181,78,2.5,32,359,368,0.3,0.6
182,78,2.5,32,363,373,0.3,0.6
183,78,2.5,32,359,359,0.3,0.5
184,78,2.5,32,349,359,0.3,0.5
185,78,2.5,32,359,363,0.3,0.5
186,78,2.5,32,377,382,0.3,0.5
187,78,2.5,32,359,368,0.3,0.5
188,78,2.5,32,349,373,0.3,0.5
189,78,2.5,32,349,373,0.4,0.6
190,78,2.5,32,354,354,0.3,0.5
191,78,2.5,32,368,363,0.3,0.5
192,78,2.5,32,368,368,0.3,0.5
193,78,2.5,32,359,363,0.3,0.5
194,78,2.5,32,368,368,0.3,0.6
195,78,2.5,32,345,377,0.3,0.5
196,78,2.5,32,345,373,0.3,0.5
197,78,2.5,32,359,382,0.3,0.6
198,78,2.5,32,345,377,0.4,0.5
199,78,2.5,32,359,363,0.3,0.5
200,78,2.5,32,359,373,0.3,0.5
201,78,2.5,32,368,368,0.3,0.5
