"12/22/2021 22:35","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
5,4,337,15,845,100.5,100.5,0.1,Timed Out,266
6,4,337,15,845,100.5,100.5,0.1,Timed Out,266
7,4,338,15,846,100.5,100.5,0.1,276,266
8,4,338,15,846,100.5,100.5,0.1,276,266
9,6,338,15,849,100.5,100.0,0.2,290,262
10,6,338,15,849,100.5,100.0,0.2,290,262
11,4,338,15,847,100.5,100.5,0.0,299,247
12,6,338,15,849,100.5,100.0,0.2,299,271
13,6,338,15,849,100.5,100.0,0.2,299,271
14,6,338,15,844,100.5,100.0,0.1,304,247
15,6,338,15,844,100.5,100.0,0.1,304,247
16,4,337,15,846,100.5,100.5,0.2,290,266
17,4,337,15,846,100.5,100.5,0.2,290,266
18,4,337,15,851,100.5,100.0,0.2,276,247
19,6,337,15,846,100.5,100.5,0.1,285,252
20,4,338,15,848,100.5,100.5,0.1,285,252
21,4,338,15,849,100.5,100.0,0.2,276,271
22,6,337,15,847,100.5,100.5,0.1,276,247
23,6,338,15,847,100.5,100.0,0.1,276,262
24,4,337,15,848,100.5,100.0,0.1,276,262
25,6,337,15,848,100.5,100.5,0.2,299,271
26,6,337,15,847,100.5,100.0,0.2,285,266
27,4,337,15,849,100.5,100.5,0.0,285,247
28,6,337,15,847,100.5,100.5,0.2,290,266
29,6,337,15,847,100.5,100.5,0.2,290,266
30,4,337,15,849,100.5,100.0,0.0,290,257
31,4,337,15,849,100.5,100.0,0.0,290,257
32,4,338,15,846,100.5,100.0,0.1,290,257
33,4,337,15,847,100.5,100.0,0.1,299,247
34,4,337,15,847,100.5,100.0,0.1,299,247
35,6,338,15,848,100.5,100.5,0.1,276,257
36,6,338,15,849,100.5,100.0,0.1,276,271
37,4,338,15,849,100.5,100.5,0.1,304,252
38,4,338,15,849,100.5,100.5,0.1,304,252
39,6,338,15,846,100.5,100.5,0.1,299,247
40,4,338,15,849,100.5,100.0,0.1,290,271
41,4,338,15,849,100.5,100.0,0.1,290,271
42,4,338,15,847,100.5,100.5,0.0,299,252
43,4,338,15,847,100.5,100.5,0.0,299,252
44,8,337,15,844,100.5,100.0,0.0,299,252
45,8,337,15,844,100.5,100.0,0.0,299,252
46,4,338,15,849,100.5,100.5,0.1,271,262
47,6,337,15,846,100.5,100.0,0.1,271,257
48,6,337,15,850,100.5,100.0,0.1,299,262
49,6,337,15,850,100.5,100.0,0.1,280,262
50,4,337,15,849,100.5,100.5,0.0,280,257
51,6,337,15,846,100.5,100.5,0.2,299,271
52,6,337,15,849,100.5,100.0,0.2,299,271
53,4,337,15,850,100.5,100.5,0.2,285,257
54,4,337,15,850,100.5,100.5,0.2,285,257
55,4,337,15,847,100.5,100.0,0.2,280,271
56,6,338,15,849,100.5,100.5,0.1,280,257
57,6,338,15,849,100.5,100.5,0.1,280,257
58,6,338,15,846,100.5,100.5,0.1,285,252
59,6,338,15,846,100.5,100.5,0.1,285,252
60,6,337,15,851,100.5,100.5,0.1,290,252
61,6,337,15,851,100.5,100.5,0.1,290,252
62,6,337,15,846,100.5,100.0,0.2,290,271
63,6,337,15,851,100.5,100.5,0.1,280,257
64,4,337,15,845,100.5,100.0,0.0,280,247
65,6,337,15,845,100.5,100.5,0.0,299,262
66,4,338,15,845,100.5,100.0,0.0,299,262
67,6,337,15,847,100.5,100.0,0.1,271,252
68,4,338,15,845,100.5,100.5,0.0,271,247
69,6,337,15,846,100.5,100.5,0.2,299,262
70,6,337,15,851,100.5,100.0,0.1,276,271
71,6,337,15,851,100.5,100.0,0.1,276,271
72,6,338,15,849,100.5,100.0,0.1,304,271
73,6,338,15,849,100.5,100.0,0.1,304,271
74,6,338,15,851,100.5,100.0,0.1,285,252
75,4,338,15,848,100.5,100.0,0.1,285,262
76,4,338,15,851,100.5,100.0,0.2,285,247
77,4,338,15,847,100.5,100.5,0.0,285,252
78,4,338,15,847,100.5,100.5,0.0,285,252
79,4,337,15,849,100.5,100.5,0.2,299,266
80,4,337,15,849,100.5,100.5,0.2,299,266
81,6,338,15,852,100.5,100.0,0.2,280,252
82,6,338,15,852,100.5,100.0,0.2,280,252
83,6,338,15,849,100.5,100.5,0.2,290,262
84,4,338,15,848,100.5,100.0,0.2,280,262
85,4,338,15,848,100.5,100.0,0.2,280,262
86,6,338,15,845,100.5,100.5,0.1,299,266
87,6,338,15,845,100.5,100.5,0.1,299,266
88,4,338,15,851,100.5,100.5,0.1,276,247
89,4,338,15,851,100.5,100.5,0.1,276,247
90,6,337,15,849,100.5,100.5,0.0,285,252
91,6,338,15,849,100.5,100.5,0.0,276,252
92,4,337,15,848,100.5,100.0,0.1,276,247
93,4,338,15,848,100.5,100.5,0.1,290,252
94,6,338,15,845,100.5,100.5,0.1,290,257
95,4,338,15,846,100.5,100.0,0.1,280,271
96,4,338,15,846,100.5,100.0,0.1,280,271
97,6,338,15,844,100.5,100.0,0.1,290,262
98,4,338,15,846,100.5,100.0,0.1,299,252
99,4,338,15,850,100.5,100.5,0.1,299,271
100,4,338,15,849,100.5,100.0,0.1,276,247
101,4,338,15,849,100.5,100.0,0.1,276,247
102,4,337,15,849,100.5,100.0,0.1,280,266
103,4,337,15,849,100.5,100.0,0.1,280,266
104,4,337,15,850,100.5,100.0,0.2,304,252
105,6,338,15,849,100.5,100.0,0.2,280,271
106,6,338,15,849,100.5,100.0,0.2,280,271
107,6,337,15,849,100.5,100.0,0.1,285,271
108,6,337,15,850,100.5,100.5,0.1,285,252
109,4,338,15,851,100.5,100.0,0.1,276,266
110,4,338,15,851,100.5,100.0,0.1,276,266
111,6,338,15,849,100.5,100.5,0.0,276,262
112,4,338,15,852,100.5,100.0,0.0,280,247
113,4,338,15,852,100.5,100.0,0.0,280,247
114,4,338,0,811,100.5,100.5,0.1,290,257
115,4,338,0,811,100.5,100.5,0.1,290,257
116,6,321,0,681,100.5,100.5,0.1,285,257
117,6,321,0,681,100.5,100.5,0.1,285,257
118,6,299,0,634,100.5,100.5,0.2,299,242
119,4,284,0,634,100.5,100.5,0.2,266,252
120,4,274,0,642,100.5,100.5,0.1,266,266
121,4,267,0,644,100.5,100.5,0.1,276,237
122,4,262,0,648,100.5,100.5,0.1,276,262
123,4,258,0,651,100.5,100.0,0.1,276,257
124,4,258,0,651,100.5,100.0,0.1,276,257
125,4,256,0,652,100.5,100.5,0.2,266,237
126,2,255,0,650,100.5,100.5,0.1,257,237
