"12/25/2021 21:05","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
5,0,341,0,651,100.5,100.5,0.6,Timed Out,102
6,0,341,0,650,100.5,100.5,0.6,74,102
7,0,341,0,650,100.5,100.5,0.6,74,96
8,0,341,0,650,100.5,100.5,0.6,85,96
9,0,340,0,648,100.5,100.5,0.7,85,107
10,0,341,0,650,100.5,100.5,0.6,91,91
11,0,341,0,650,100.5,100.5,0.6,91,91
12,0,341,0,650,100.5,100.5,0.6,85,102
13,0,341,0,650,100.5,100.5,0.6,91,107
14,0,341,0,650,100.5,100.5,0.6,91,96
15,0,341,0,650,100.5,100.5,0.6,96,96
16,0,340,0,651,100.5,100.5,0.6,96,102
17,0,341,0,651,100.5,100.5,0.6,74,85
18,0,341,0,651,100.5,100.5,0.6,74,85
19,0,341,0,650,100.5,100.5,0.6,74,96
20,0,341,0,652,100.5,100.5,0.6,91,91
21,0,341,0,648,100.5,100.5,0.6,91,102
22,0,341,0,651,100.5,100.5,0.6,74,112
23,0,341,0,651,100.5,100.5,0.6,74,96
24,0,341,0,651,100.5,100.5,0.6,91,91
25,0,341,0,648,100.5,100.5,0.6,91,96
26,0,341,0,652,100.5,100.5,0.6,91,107
27,0,341,0,652,100.5,100.5,0.6,74,107
28,0,341,0,651,100.5,100.5,0.6,74,107
29,0,341,0,651,100.5,100.5,0.6,91,107
30,0,341,0,650,100.5,100.5,0.6,91,96
31,0,341,0,650,100.5,100.5,0.6,80,96
32,0,341,0,651,100.5,100.5,0.6,80,107
33,0,341,0,650,100.5,100.5,0.6,91,96
34,0,342,0,650,100.5,100.5,0.5,74,96
35,0,342,0,650,100.5,100.5,0.5,74,96
36,0,341,0,650,100.5,100.5,0.6,74,102
37,0,340,0,650,100.5,100.5,0.6,74,96
38,0,341,0,653,100.5,100.5,0.6,74,107
39,0,341,0,653,100.5,100.5,0.6,74,107
40,0,341,0,648,100.5,100.5,0.6,91,107
41,0,341,0,650,100.5,100.5,0.5,91,102
42,0,341,0,650,100.5,100.5,0.5,91,96
43,0,341,0,650,100.5,100.5,0.5,74,96
44,0,341,0,652,100.5,100.5,0.6,74,102
45,0,341,0,651,100.5,100.5,0.6,80,102
46,0,341,0,651,100.5,100.5,0.5,80,112
47,0,341,0,651,100.5,100.5,0.5,85,112
48,0,341,0,651,100.5,100.5,0.6,91,107
49,0,341,0,648,100.5,100.5,0.6,91,102
50,0,341,0,651,100.5,100.5,0.6,91,96
51,0,341,0,649,100.5,100.5,0.6,91,102
52,0,340,0,651,100.5,100.5,0.6,74,91
53,0,341,0,650,100.5,100.5,0.6,74,102
54,0,341,0,649,100.5,100.5,0.6,74,96
55,0,341,0,649,100.5,100.5,0.6,74,96
56,0,341,0,652,100.5,100.5,0.6,74,91
57,0,340,0,651,100.5,100.5,0.6,96,102
58,0,341,0,651,100.5,100.5,0.7,96,107
59,0,341,0,651,100.5,100.5,0.7,74,107
60,0,341,0,653,100.5,100.5,0.7,91,102
61,0,341,0,650,100.5,100.5,0.6,91,96
62,0,341,0,650,100.5,100.5,0.6,91,96
63,0,341,0,650,100.5,100.5,0.6,91,96
64,0,340,0,652,100.5,100.5,0.6,80,96
65,0,341,0,650,100.5,100.5,0.6,74,96
66,0,341,0,648,100.5,100.5,0.6,74,96
67,0,341,0,648,100.5,100.5,0.6,85,96
68,0,341,0,651,100.5,100.5,0.7,85,91
69,0,340,0,652,100.5,100.5,0.6,74,107
70,0,341,0,652,100.5,100.5,0.6,74,112
71,0,341,0,652,100.5,100.5,0.6,85,107
72,0,341,0,652,100.5,100.5,0.6,85,102
73,0,341,0,648,100.5,100.5,0.6,91,96
74,0,340,0,650,100.5,100.5,0.6,85,96
75,0,340,0,650,100.5,100.5,0.6,85,96
76,0,340,0,651,100.5,100.5,0.6,91,91
77,0,341,0,650,100.5,100.5,0.6,91,96
78,0,341,0,651,100.5,100.5,0.6,85,107
79,0,341,0,651,100.5,100.5,0.6,85,107
80,0,341,0,649,100.5,100.5,0.6,85,96
81,0,341,0,651,100.5,100.5,0.6,74,96
82,0,341,0,651,100.5,100.5,0.6,74,96
83,0,341,0,651,100.5,100.5,0.6,85,112
84,0,341,0,652,100.5,100.5,0.6,85,102
85,0,341,0,648,100.5,100.5,0.6,91,91
86,0,340,0,650,100.5,100.5,0.6,91,102
87,0,340,0,650,100.5,100.5,0.6,96,102
88,0,341,0,652,100.5,100.5,0.6,80,96
89,0,341,0,650,100.5,100.5,0.6,80,102
90,0,341,0,647,100.5,100.5,0.6,74,96
91,0,341,0,647,100.5,100.5,0.6,74,96
92,0,342,0,650,100.5,100.5,0.6,74,107
93,0,341,0,647,100.5,100.5,0.6,74,91
94,0,341,18,662,100.5,100.5,0.6,91,102
95,0,345,13,791,100.5,100.5,0.6,91,91
96,0,346,13,829,100.5,100.5,0.6,91,107
97,0,351,13,842,100.5,100.5,0.6,80,91
98,0,356,13,830,100.5,100.5,0.6,80,102
99,0,356,13,830,100.5,100.5,0.6,85,102
100,0,361,13,815,100.5,100.5,0.6,85,102
101,0,363,13,816,100.5,100.5,0.6,80,96
102,0,363,13,813,100.5,100.5,0.5,96,118
103,0,363,13,813,100.5,100.5,0.5,96,118
104,0,363,13,814,100.5,100.5,0.6,91,107
105,0,364,13,811,100.5,100.5,0.6,91,112
106,0,363,13,818,100.5,100.5,0.6,80,102
107,0,363,13,818,100.5,100.5,0.6,80,102
108,0,365,13,819,100.5,100.5,0.5,107,102
109,0,364,13,823,100.5,100.5,0.5,91,118
110,0,365,13,818,100.5,100.5,0.6,91,102
111,0,365,13,818,100.5,100.5,0.6,107,102
112,0,365,13,818,100.5,100.5,0.6,107,112
113,0,365,13,820,100.5,100.5,0.5,85,107
114,0,365,13,820,100.5,100.5,0.6,85,96
115,0,365,13,820,100.5,100.5,0.6,80,96
116,0,365,13,817,100.5,100.5,0.6,96,118
117,0,365,13,820,100.5,100.5,0.6,96,118
118,0,365,13,820,100.5,100.5,0.6,107,102
119,0,365,13,820,100.5,100.5,0.6,107,102
120,0,365,13,818,100.5,100.5,0.6,91,118
121,0,365,13,822,100.5,100.5,0.5,91,107
122,0,365,13,822,100.5,100.5,0.5,96,107
123,0,366,13,816,100.5,100.5,0.6,102,96
124,0,365,13,818,100.5,100.5,0.6,102,118
125,0,365,13,821,100.5,100.5,0.6,96,107
126,0,365,13,819,100.5,100.5,0.6,96,118
