"12/25/2021 20:09","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,0,261,0,650,100.5,100.5,0.0,No Data,80
5,0,261,0,650,100.5,100.5,0.0,Timed Out,80
6,0,260,0,651,100.5,100.5,-0.7,96,96
7,0,260,0,651,100.5,100.5,-0.7,96,96
8,0,260,0,651,100.5,100.5,-0.7,112,96
9,2,260,0,651,100.5,100.5,0.0,96,91
10,2,260,0,650,100.5,100.5,-0.7,96,85
11,0,260,0,651,101.0,100.5,0.0,96,80
12,0,260,0,652,101.0,100.5,-0.7,96,85
13,0,260,0,653,101.0,100.5,0.0,112,91
14,0,260,0,651,101.0,100.5,0.0,112,96
15,0,261,0,651,101.0,100.5,-0.7,91,69
16,0,260,0,650,101.0,100.5,-0.7,102,80
17,0,261,0,650,101.0,100.5,-0.7,102,80
18,0,260,0,652,101.0,100.5,-0.7,112,85
19,0,260,0,652,101.0,100.5,-0.7,112,80
20,0,260,0,648,101.0,100.5,-0.7,112,80
21,2,260,0,650,101.0,100.5,0.0,112,85
22,2,260,0,650,101.0,100.5,0.0,96,85
23,0,260,0,649,100.5,100.5,-0.7,112,85
24,0,260,0,649,100.5,100.5,-0.7,112,85
25,0,260,0,651,101.0,100.5,-0.7,107,80
26,0,260,0,650,101.0,100.5,-0.7,107,91
27,0,260,0,651,101.0,100.5,-0.7,102,80
28,0,260,0,651,101.0,100.5,0.0,102,96
29,2,261,0,649,100.5,100.5,-0.7,102,80
30,0,260,0,651,101.0,100.5,-0.7,112,91
31,0,260,0,651,101.0,100.5,-0.7,112,91
32,0,260,0,650,101.0,100.5,-0.7,91,91
33,2,260,0,650,100.5,100.5,0.0,91,80
34,0,260,0,651,101.0,100.5,-0.7,112,91
35,0,260,0,651,101.0,100.5,-0.7,112,91
36,0,260,0,649,100.5,100.5,0.0,118,85
37,0,260,0,651,100.5,100.5,0.0,112,91
38,0,260,0,647,100.5,100.5,-0.7,112,74
39,0,260,0,650,100.5,100.5,-0.7,112,85
40,2,260,0,651,101.0,100.5,0.0,112,80
41,0,260,0,650,101.0,100.5,-0.7,107,96
42,0,260,0,650,100.5,100.5,-0.7,107,91
43,2,260,0,651,101.0,100.5,-0.7,102,69
44,0,257,28,665,101.0,100.5,-0.7,107,69
45,0,264,36,810,100.5,100.5,-0.7,107,91
46,0,285,36,944,100.5,100.5,-0.7,102,85
47,0,310,14,970,100.5,100.5,-0.7,102,74
48,0,328,14,935,100.5,100.5,0.0,118,85
49,0,337,14,900,100.5,100.5,-0.7,118,96
50,0,343,14,832,100.5,100.5,0.0,118,85
51,0,343,14,832,100.5,100.5,0.0,112,85
52,0,340,14,794,100.5,100.5,-0.7,112,91
53,0,337,14,834,100.5,100.5,-0.7,123,102
54,0,337,14,834,100.5,100.5,-0.7,123,102
55,0,342,14,839,100.5,100.5,-0.7,112,102
56,0,342,14,839,100.5,100.5,-0.7,112,102
57,0,343,14,836,100.5,100.5,-0.7,112,91
58,0,343,14,836,100.5,100.5,-0.7,112,91
59,0,344,14,835,100.5,100.5,-0.7,112,102
60,0,343,14,837,100.5,100.5,-0.7,112,107
61,0,343,14,831,100.5,100.5,0.0,118,91
62,0,343,14,833,100.5,100.5,0.0,112,96
63,0,343,14,833,100.5,100.5,0.0,112,96
64,0,344,14,833,100.5,100.5,0.0,118,91
65,0,344,14,833,100.5,100.5,0.0,118,91
66,0,344,14,836,100.5,100.5,-0.7,123,91
67,0,344,14,835,100.5,100.5,0.0,123,96
68,0,344,14,837,100.5,100.5,0.0,118,102
69,0,344,14,834,100.5,100.5,-0.7,133,96
70,0,344,14,836,100.5,100.5,-0.7,133,91
71,0,344,14,833,100.5,100.5,-0.7,112,107
72,0,344,14,834,100.5,100.5,-0.7,112,107
73,0,343,14,833,100.5,100.5,-0.7,112,102
74,0,343,14,830,100.5,100.5,-0.7,123,96
75,0,343,14,831,100.5,100.5,0.0,123,91
76,0,342,14,833,100.5,100.5,-0.7,133,96
77,0,343,14,835,100.5,100.5,-0.7,133,102
78,2,342,14,833,100.5,100.5,0.1,139,96
79,0,343,14,832,100.5,100.5,-0.7,139,96
80,0,342,14,833,100.5,100.5,0.0,128,107
81,0,342,14,834,100.5,100.5,-0.7,123,96
82,0,342,14,832,100.5,100.5,-0.7,123,85
83,0,342,14,831,100.5,100.5,0.0,139,96
84,0,342,14,831,100.5,100.5,0.0,139,96
85,0,343,14,835,100.5,100.5,0.0,144,102
86,0,343,14,835,100.5,100.5,0.0,144,102
87,0,343,14,831,100.5,100.5,0.0,133,107
88,0,343,24,888,100.5,100.5,0.0,118,91
89,0,343,24,888,100.5,100.5,0.0,118,91
90,0,355,26,988,100.5,100.5,-0.7,149,112
91,0,355,26,988,100.5,100.5,-0.7,149,112
92,0,365,32,1043,100.5,100.5,-0.7,133,112
93,0,365,32,1043,100.5,100.5,-0.7,133,112
94,0,371,32,1075,100.5,100.5,0.0,149,96
95,0,379,32,1075,100.5,100.5,-0.7,133,107
96,0,379,32,1075,100.5,100.5,-0.7,133,107
97,0,382,31,1066,100.5,100.5,-0.7,159,128
98,2,382,30,1046,100.5,100.5,0.0,159,118
99,0,382,30,1038,100.5,100.5,-0.7,144,118
100,0,382,33,1035,100.5,100.5,-0.7,144,118
101,2,380,36,1069,100.5,100.5,0.0,164,123
102,0,381,35,1103,100.5,100.5,-0.7,159,123
103,2,383,34,1116,100.5,100.5,-0.7,159,123
104,2,385,34,1106,100.5,100.5,-0.7,164,139
105,2,386,34,1100,100.5,100.5,-0.7,164,139
106,4,386,35,1086,100.5,100.5,-0.7,174,149
107,4,386,34,1080,100.5,100.5,-0.7,174,128
108,6,384,34,1082,100.5,100.5,-0.7,194,149
109,4,384,34,1089,100.5,100.5,-0.7,189,139
110,6,383,34,1094,100.5,100.5,-0.7,189,159
111,8,384,34,1096,100.5,100.5,0.0,189,159
112,6,384,34,1098,100.5,100.5,-0.7,189,159
113,8,384,34,1102,100.5,100.5,-0.7,199,149
114,8,384,34,1104,100.5,100.5,-0.7,199,179
115,10,384,34,1102,100.5,100.5,-0.7,199,169
116,8,384,34,1103,100.5,100.5,-0.7,208,164
117,8,385,34,1104,100.5,100.5,0.0,208,189
118,10,385,34,1107,100.5,100.5,-0.7,233,189
119,10,385,34,1102,100.5,100.5,-0.7,233,184
120,10,385,34,1102,100.5,100.5,-0.7,218,189
121,10,385,34,1102,100.5,100.5,-0.7,218,189
122,10,385,34,1103,100.5,100.5,-0.7,242,194
