"12/22/2021 20:05","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C",""
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature","ECM In Control"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
88,8,394,32,1071,100.0,100.0,0.1,247,262,Primary ECM
89,6,394,32,1069,100.0,100.0,0.0,247,262,Primary ECM
90,8,394,32,1073,100.0,100.0,0.1,262,262,Primary ECM
91,6,394,32,1065,100.0,100.0,0.0,271,280,Primary ECM
92,4,394,32,1060,100.0,100.0,0.1,271,262,Primary ECM
93,4,394,32,1060,100.0,100.0,0.1,257,262,Primary ECM
94,4,394,32,1066,100.0,100.0,0.1,257,266,Primary ECM
95,6,393,32,1064,100.0,100.0,0.1,257,266,Primary ECM
96,6,394,32,1064,100.0,100.0,0.1,257,280,Primary ECM
97,6,394,32,1064,100.0,100.0,0.1,257,280,Primary ECM
98,8,393,32,1065,100.0,100.0,0.1,257,266,Primary ECM
99,4,394,32,1062,100.0,100.0,0.1,262,271,Primary ECM
100,6,394,32,1074,100.0,100.0,0.1,262,271,Primary ECM
101,4,394,32,1070,100.0,100.0,0.1,262,276,Primary ECM
102,4,394,32,1065,100.0,100.0,0.1,252,276,Primary ECM
103,4,394,32,1060,100.0,100.0,0.1,252,266,Primary ECM
104,6,394,32,1064,100.0,100.0,0.1,252,266,Primary ECM
105,4,393,32,1055,100.0,100.0,0.1,252,280,Primary ECM
106,6,393,32,1057,100.0,100.0,0.1,257,280,Primary ECM
107,4,393,32,1064,100.0,100.0,0.2,257,262,Primary ECM
108,4,393,32,1066,100.0,100.0,0.1,262,262,Primary ECM
109,8,393,32,1065,100.0,100.0,0.0,262,276,Primary ECM
110,4,393,32,1065,100.0,100.0,0.1,257,276,Primary ECM
111,8,394,32,1066,100.0,100.0,0.1,257,276,Primary ECM
112,4,395,32,1068,100.0,100.0,0.1,252,280,Primary ECM
113,4,395,32,1065,100.0,100.0,0.1,266,280,Primary ECM
114,4,395,32,1073,100.0,100.0,0.0,266,276,Primary ECM
115,4,395,32,1072,100.0,100.0,0.1,266,276,Primary ECM
116,6,395,32,1069,100.0,100.0,0.1,266,276,Primary ECM
117,4,394,32,1065,100.0,100.0,0.1,262,266,Primary ECM
118,8,394,32,1062,100.0,100.0,0.1,262,266,Primary ECM
119,4,394,32,1068,100.0,100.0,0.1,271,266,Primary ECM
120,6,394,32,1066,100.0,100.0,0.1,266,266,Primary ECM
121,4,394,32,1055,100.0,100.0,0.0,266,276,Primary ECM
122,4,393,32,1050,100.0,100.0,0.1,271,276,Primary ECM
123,4,393,32,1058,100.0,100.0,0.1,271,276,Primary ECM
124,6,392,32,1059,100.0,100.0,0.1,252,271,Primary ECM
125,4,393,32,1063,100.0,100.0,0.0,252,271,Primary ECM
126,4,393,32,1064,100.0,100.0,0.1,271,276,Primary ECM
127,6,393,32,1060,100.0,100.0,0.0,271,276,Primary ECM
128,6,393,32,1060,100.0,100.0,0.1,271,266,Primary ECM
129,6,393,32,1060,100.0,100.0,0.1,266,266,Primary ECM
130,8,393,32,1068,100.0,100.0,0.1,266,280,Primary ECM
131,4,392,32,1069,100.0,100.0,0.1,257,280,Primary ECM
132,4,393,32,1062,100.0,100.0,0.1,257,280,Primary ECM
133,6,393,32,1059,100.0,100.0,0.1,266,285,Primary ECM
134,6,392,32,1065,100.0,100.0,0.1,252,285,Primary ECM
135,8,393,32,1063,100.0,100.0,0.1,252,290,Primary ECM
136,8,392,32,1065,100.0,100.0,0.1,271,290,Primary ECM
137,6,392,32,1065,100.0,100.0,0.0,271,266,Primary ECM
138,4,393,32,1068,100.0,100.0,0.1,257,276,Primary ECM
139,8,393,32,1066,100.0,100.0,0.0,257,276,Primary ECM
140,6,393,32,1068,100.0,100.0,0.1,280,271,Primary ECM
141,8,394,32,1072,100.0,100.0,0.1,266,271,Primary ECM
142,4,393,32,1070,100.0,100.0,0.0,266,285,Primary ECM
143,4,393,32,1067,100.0,100.0,0.1,276,285,Primary ECM
144,6,393,32,1060,100.0,100.0,0.1,276,290,Primary ECM
145,6,393,32,1059,100.0,100.0,0.1,280,271,Primary ECM
146,6,393,32,1062,100.0,100.0,0.1,280,271,Primary ECM
147,8,394,32,1068,100.0,100.0,0.1,280,285,Primary ECM
148,8,393,32,1068,100.0,100.0,0.1,276,285,Primary ECM
149,6,394,32,1069,100.0,100.0,0.0,276,276,Primary ECM
150,8,393,32,1059,100.0,100.0,0.1,276,276,Primary ECM
151,6,393,32,1066,100.0,100.0,0.1,276,285,Primary ECM
152,6,394,32,1071,100.0,100.0,0.1,280,271,Primary ECM
153,6,394,32,1076,100.0,100.0,0.1,280,271,Primary ECM
154,4,394,32,1076,100.0,100.0,0.1,280,290,Primary ECM
155,6,394,32,1075,100.0,100.0,0.0,276,290,Primary ECM
156,6,395,32,1070,100.0,100.0,0.0,276,280,Primary ECM
157,6,395,32,1070,100.0,100.0,0.0,257,280,Primary ECM
158,6,394,32,1073,100.0,100.0,0.1,257,271,Primary ECM
159,4,394,32,1062,100.0,100.0,0.1,271,285,Primary ECM
160,4,394,32,1063,100.0,100.0,0.0,271,285,Primary ECM
161,6,394,32,1065,100.0,100.0,0.1,280,266,Primary ECM
162,4,394,32,1065,100.0,100.0,0.0,271,266,Primary ECM
163,4,394,32,1063,100.0,100.0,0.1,271,276,Primary ECM
164,6,394,32,1065,100.0,100.0,0.0,257,276,Primary ECM
165,4,394,32,1065,100.0,100.0,0.1,257,285,Primary ECM
166,4,393,32,1054,100.0,100.0,0.0,280,271,Primary ECM
167,8,393,32,1058,100.0,100.0,0.1,280,271,Primary ECM
168,4,393,32,1066,100.0,100.0,0.1,271,285,Primary ECM
169,8,393,32,1061,100.0,100.0,0.1,262,285,Primary ECM
170,4,393,32,1059,100.0,100.0,0.1,262,271,Primary ECM
171,4,393,32,1057,100.0,100.0,0.1,266,271,Primary ECM
172,4,393,32,1060,100.0,100.0,0.0,266,271,Primary ECM
173,8,393,32,1067,100.0,100.0,0.1,262,271,Primary ECM
174,4,393,32,1065,100.0,100.0,0.1,262,271,Primary ECM
175,4,393,32,1069,100.0,100.0,0.1,257,285,Primary ECM
176,4,393,32,1069,100.0,100.0,0.1,276,285,Primary ECM
177,6,394,32,1066,100.0,100.0,0.1,276,285,Primary ECM
178,6,394,32,1071,100.0,100.0,0.1,276,285,Primary ECM
179,4,394,32,1071,100.0,100.0,0.1,276,271,Primary ECM
180,6,394,32,1062,100.0,100.0,0.1,262,276,Primary ECM
181,6,394,32,1062,100.0,100.0,0.1,262,276,Primary ECM
182,4,394,32,1065,100.0,100.0,0.0,266,266,Primary ECM
